radius,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400
0.0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0045,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.009,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0135,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.018,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0225,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.027,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0315,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.036,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0405,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.045,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0495,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.054,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0585,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.063,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0675,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.072,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0765,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.081,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0855,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.09,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.0945,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.099,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.1035,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.108,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
