space_index,space_matrix,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000,1025,1050,1075,1100,1125,1150,1175,1200,1225,1250,1275,1300,1325,1350,1375,1400,1425,1450,1475,1500
1,"1",0,0,0,0,0,0,0,0,0,9,11,19,26,35,26,29,35,40,26,24,29,31,19,41,30,34,40,31,26,37,34,39,44,30,38,25,45,41,35,48,35,44,52,47,49,56,52,56,63,48,77,63,63,70,64,71,80,74,80
