boxsize,sb_radius,C,beta1_Y
0.1,1,0.1,9
0.1,2,0.2,9
0.1,3,0.30000000000000004,8
0.15,1,0.15,11
0.15,2,0.3,13
0.15,3,0.44999999999999996,15
0.2,1,0.2,5
0.2,2,0.4,6
0.2,3,0.6000000000000001,6
0.25,1,0.25,3
0.25,2,0.5,4
0.25,3,0.75,3
0.3,1,0.3,2
0.3,2,0.6,2
0.3,3,0.8999999999999999,4
0.4,1,0.4,2
0.4,2,0.8,3
0.4,3,1.2000000000000002,2
0.5,1,0.5,1
0.5,2,1.0,1
0.5,3,1.5,1
0.75,1,0.75,1
0.75,2,1.5,1
0.75,3,2.25,1
1.0,1,1.0,1
1.0,2,2.0,1
1.0,3,3.0,1
