2.561888098716735840e-01 4.218097031116485596e-01 4.085777699947357178e-02 1.428398638963699341e-01 1.258165240287780762e-01 2.208953052759170532e-01 1.951687932014465332e-01
2.488402426242828369e-01 4.149848818778991699e-01 4.003321379423141479e-02 1.417145878076553345e-01 1.248805299401283264e-01 2.198684662580490112e-01 1.941171288490295410e-01
2.415828704833984375e-01 4.082594811916351318e-01 3.922181576490402222e-02 1.406318098306655884e-01 1.239816024899482727e-01 2.188822478055953979e-01 1.931063830852508545e-01
2.344152182340621948e-01 4.016323983669281006e-01 3.842306137084960938e-02 1.395910829305648804e-01 1.231198087334632874e-01 2.179362326860427856e-01 1.921360492706298828e-01
2.273353189229965210e-01 3.951027095317840576e-01 3.763641044497489929e-02 1.385919004678726196e-01 1.222946867346763611e-01 2.170298546552658081e-01 1.912060678005218506e-01
2.203419059514999390e-01 3.886692821979522705e-01 3.686124458909034729e-02 1.376343518495559692e-01 1.215058341622352600e-01 2.161631137132644653e-01 1.903158426284790039e-01
2.134333550930023193e-01 3.823312222957611084e-01 3.609705716371536255e-02 1.367176920175552368e-01 1.207532957196235657e-01 2.153357118368148804e-01 1.894653141498565674e-01
2.066078633069992065e-01 3.760873973369598389e-01 3.534323722124099731e-02 1.358418315649032593e-01 1.200366690754890442e-01 2.145472317934036255e-01 1.886540353298187256e-01
1.998641192913055420e-01 3.699368834495544434e-01 3.459932282567024231e-02 1.350064724683761597e-01 1.193556264042854309e-01 2.137974053621292114e-01 1.878817081451416016e-01
1.932005435228347778e-01 3.638787865638732910e-01 3.386479616165161133e-02 1.342109590768814087e-01 1.187100186944007874e-01 2.130859047174453735e-01 1.871480941772460938e-01
1.866157948970794678e-01 3.579119443893432617e-01 3.313925489783287048e-02 1.334552615880966187e-01 1.180993393063545227e-01 2.124125212430953979e-01 1.864529252052307129e-01
1.801079213619232178e-01 3.520355224609375000e-01 3.242206200957298279e-02 1.327391713857650757e-01 1.175238117575645447e-01 2.117770165205001831e-01 1.857959330081939697e-01
1.736760884523391724e-01 3.462485671043395996e-01 3.171291202306747437e-02 1.320621222257614136e-01 1.169827952980995178e-01 2.111791521310806274e-01 1.851767897605895996e-01
1.673183441162109375e-01 3.405501842498779297e-01 3.101134300231933594e-02 1.314239054918289185e-01 1.164761856198310852e-01 2.106183618307113647e-01 1.845949888229370117e-01
1.610334813594818115e-01 3.349395096302032471e-01 3.031689301133155823e-02 1.308242231607437134e-01 1.160036846995353699e-01 2.100945860147476196e-01 1.840506494045257568e-01
1.548196673393249512e-01 3.294154405593872070e-01 2.962920814752578735e-02 1.302629262208938599e-01 1.155650690197944641e-01 2.096075862646102905e-01 1.835432648658752441e-01
