segment_length,rank0,rank1,rank2,rank3
40,150,0,0,0
80,150,0,0,0
120,134,16,0,0
160,113,37,0,0
200,113,37,0,0
240,95,55,0,0
280,89,61,0,0
320,83,67,0,0
360,77,73,0,0
400,72,78,0,0
440,69,81,0,0
480,53,97,0,0
520,50,100,0,0
560,40,110,0,0
600,35,115,0,0
640,35,115,0,0
680,42,108,0,0
720,26,124,0,0
760,32,118,0,0
800,23,127,0,0
840,25,125,0,0
880,24,126,0,0
920,19,131,0,0
960,15,135,0,0
1000,15,135,0,0
1040,11,139,0,0
1080,11,139,0,0
1120,11,139,0,0
1160,6,144,0,0
1200,8,142,0,0
1240,8,142,0,0
1280,6,144,0,0
1320,4,146,0,0
1360,4,146,0,0
1400,4,146,0,0
1440,1,149,0,0
1480,3,147,0,0
1520,0,150,0,0
1560,2,148,0,0
1600,1,149,0,0
