space_index,space_matrix,40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760,800,840,880,920,960,1000,1040,1080,1120,1160,1200,1240,1280,1320,1360,1400,1440,1480,1520,1560,1600
1,"1",0,0,16,37,37,55,61,67,73,78,81,97,100,110,115,115,108,124,118,127,125,126,131,135,135,139,139,139,144,142,142,144,146,146,146,149,147,150,148,149
