radius,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
0.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.25e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,95,96,89,87,96,94,92,95,92,96
2.5e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83,82,82,72,73,80,73,67,77,70,64
3.75e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,77,80,78,69,70,77,73,63,72,68,63
5.0e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,74,76,70,63,62,66,58,49,61,45,42
6.25e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72,72,61,58,52,46,50,39,49,36,36
7.5e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,66,67,60,57,50,45,50,37,47,35,35
8.75e-5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,65,67,56,57,48,45,50,36,47,35,35
0.0001,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,61,61,48,45,40,34,31,20,33,16,16
0.0001125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58,53,42,40,34,26,22,16,24,5,6
0.000125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,48,39,39,31,22,22,14,24,5,4
0.0001375,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,43,42,32,37,29,19,22,13,21,5,4
0.00015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,37,38,32,35,27,19,21,13,16,5,4
0.0001625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,35,37,30,33,27,19,20,13,15,5,4
0.000175,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,34,36,30,33,26,19,20,11,15,5,4
0.0001875,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,34,36,29,32,24,18,17,11,15,5,4
0.0002,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,32,33,27,30,22,14,14,8,10,4,2
0.0002125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,32,27,28,22,14,10,5,9,3,1
0.000225,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,28,31,25,27,20,13,9,5,7,2,1
0.0002375,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,27,30,23,26,19,12,7,5,6,1,0
0.00025,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,27,29,21,23,18,11,7,5,6,1,0
0.0002625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26,29,19,20,15,10,7,5,6,1,0
