radius,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,11,13,4,5,8,5,8,4
2.5e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,18,28,27,20,26,33,23,30,36
3.75e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,22,31,30,23,27,37,28,32,37
5.0e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,30,37,38,34,42,51,39,55,58
6.25e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,39,42,48,54,50,61,51,64,64
7.5e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,40,43,50,55,50,63,53,65,65
8.75e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,44,43,52,55,50,64,53,65,65
0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,53,56,60,66,69,80,67,84,84
0.0001125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,58,60,66,74,78,84,76,95,94
0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,62,61,69,78,78,86,76,95,96
0.0001375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,58,68,63,71,81,78,87,79,95,96
0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,68,65,73,81,79,87,84,95,96
0.0001625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,63,70,67,73,81,80,87,85,95,96
0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,64,70,67,74,81,80,89,85,95,96
0.0001875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,64,71,68,76,82,83,89,85,95,96
0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,67,73,70,78,86,86,92,90,96,98
0.0002125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,73,72,78,86,90,95,91,97,99
