space_index,space_matrix,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,98,98,96,99,99,100,100,100,100
