step,impact_time,step_period,theta_ns,theta_s,dtheta_ns,dtheta_s
1,0.7174650748488578,0.7174650748488578,-0.4272996573637435,0.25276673216431034,0.00041342489798488206,-1.18460137661335
2,1.516482579165527,0.7990175043166693,-0.38235283519728314,0.20781990999784852,-0.15974884897998223,-1.1603463035919526
3,2.2061649665030885,0.6896823873375613,-0.42949735136621486,0.254964426166782,-0.028851140062903013,-1.2018057361111827
4,3.001913939418843,0.7957489729157545,-0.39234811926562463,0.2178151940661914,-0.108006765687405,-1.1614448887511488
5,3.719379012185562,0.7174650727667187,-0.4272996577965227,0.25276673259708987,0.0004134245698605099,-1.184601377669188
6,4.518396517072801,0.7990175048872385,-0.3823528349688959,0.20781990976946127,-0.15974884953589807,-1.1603463034681891
7,5.208078903793066,0.6896823867202648,-0.4294973513252701,0.25496442612583736,-0.028851141269135284,-1.201805736545378
8,6.00382787637746,0.7957489725843939,-0.3923481197753245,0.21781519457589132,-0.10800676318566182,-1.1614448888095459
9,6.721292950530461,0.7174650741530009,-0.42729965750370447,0.2527667323042714,0.0004134247566348393,-1.1846013769673664
10,7.520310455025554,0.7990175044950937,-0.38235283513507445,0.20781990993563984,-0.15974884910436346,-1.16034630355429
11,8.209992842196309,0.6896823871707539,-0.429497351354677,0.25496442615524395,-0.028851140389088314,-1.2018057362278725
12,9.005741815021587,0.7957489728252787,-0.39234811940407205,0.2178151942046388,-0.10800676500838123,-1.161444888767111
13,9.723206888164817,0.7174650731432302,-0.42729965771701817,0.25276673251758514,0.0004134246207041059,-1.1846013774785764
14,10.522224392945612,0.7990175047807938,-0.3823528350139611,0.2078199098145299,-0.15974884941898218,-1.1603463034915515
15,11.211906779788048,0.6896823868424365,-0.42949735133324346,0.25496442613381065,-0.028851141030493823,-1.2018057364592754
16,12.007655752437763,0.7957489726497154,-0.39234811967464944,0.21781519447521624,-0.108006763679942,-1.1614448887980386
17,12.725120826316937,0.7174650738791741,-0.42729965756155014,0.25276673236211733,0.0004134247197736585,-1.1846013771059947
18,13.524138330889507,0.7990175045725696,-0.38235283510223067,0.20781990990279636,-0.1597488491896865,-1.1603463035372774
19,14.213820717971226,0.6896823870817184,-0.4294973513488649,0.25496442614943204,-0.02885114056302598,-1.2018057362906258
20,15.009569690748895,0.7957489727776696,-0.3923481194774469,0.21781519427801385,-0.10800676464813606,-1.1614448887754973
21,15.727034764091698,0.7174650733428035,-0.4272996576748583,0.25276673247542514,0.00041342464756972676,-1.1846013773775397
22,16.526052268816024,0.7990175047243273,-0.3823528350379,0.20781990983846554,-0.15974884935679834,-1.1603463035039538
