step,impact_time,step_period,theta_ns,theta_s,dtheta_ns,dtheta_s
1,0.7126356816450647,0.7126356816450647,-0.41536492344370607,0.24955864450424484,-0.060946184216905765,-1.1823714851782323
2,1.5021396459486152,0.7895039643035503,-0.3817899475157918,0.21598366857633028,-0.15333247699408617,-1.1536740783547517
3,2.2147753274700084,0.7126356815213933,-0.4153649234613464,0.24955864452188495,-0.060946184291118755,-1.1823714852467861
4,3.0042792917839276,0.7895039643139191,-0.38178994753075157,0.2159836685912902,-0.15333247689974636,-1.1536740783544375
5,3.7169149733473987,0.712635681563471,-0.4153649234540691,0.24955864451460766,-0.060946184270266816,-1.1823714852229705
6,4.506418937654614,0.7895039643072158,-0.38178994752852524,0.21598366858906376,-0.15333247692005048,-1.15367407835558
7,5.219054619211434,0.71263568155682,-0.4153649234554588,0.24955864451599735,-0.060946184272589576,-1.1823714852268101
8,6.008558583520306,0.7895039643088718,-0.38178994752832995,0.21598366858886883,-0.1533324769190937,-1.1536740783552042
9,6.721194265076711,0.7126356815564053,-0.4153649234554475,0.24955864451598617,-0.060946184273129235,-1.182371485227018
10,7.510698229385444,0.789503964308732,-0.38178994752853995,0.2159836685890788,-0.1533324769181199,-1.1536740783552597
11,8.223333910942419,0.7126356815569754,-0.415364923455362,0.24955864451590073,-0.06094618427279528,-1.1823714852266995
12,9.012837875251092,0.7895039643086734,-0.3817899475284803,0.2159836685890191,-0.1533324769185178,-1.1536740783552653
13,9.725473556807897,0.7126356815568052,-0.41536492345539244,0.2495586445159313,-0.060946184272874154,-1.1823714852267961
14,10.5149775211166,0.7895039643087037,-0.3817899475284865,0.215983668589025,-0.15333247691844748,-1.1536740783552597
15,11.227613202673425,0.712635681556824,-0.41536492345538845,0.24955864451592713,-0.06094618427286669,-1.1823714852267848
16,12.017117166982123,0.789503964308699,-0.3817899475284867,0.2159836685890256,-0.15333247691845067,-1.15367407835526
17,12.729752848538949,0.712635681556826,-0.41536492345538734,0.2495586445159262,-0.06094618427287166,-1.1823714852267844
18,13.519256812847646,0.7895039643086963,-0.3817899475284894,0.21598366858902818,-0.15333247691843932,-1.1536740783552613
19,14.231892494404478,0.7126356815568324,-0.4153649234553869,0.24955864451592563,-0.06094618427286385,-1.1823714852267802
20,15.021396458713177,0.7895039643086978,-0.3817899475284863,0.21598366858902485,-0.1533324769184553,-1.1536740783552606
21,15.734032140270001,0.7126356815568237,-0.41536492345538856,0.2495586445159273,-0.06094618427286705,-1.1823714852267855
22,16.5235361045787,0.7895039643086993,-0.381789947528487,0.21598366858902557,-0.15333247691844962,-1.1536740783552606
23,17.236171786135525,0.712635681556825,-0.4153649234553881,0.24955864451592696,-0.06094618427286811,-1.1823714852267848
24,18.025675750444222,0.7895039643086983,-0.3817899475284872,0.2159836685890261,-0.15333247691844926,-1.1536740783552608
25,18.738311432001048,0.7126356815568269,-0.41536492345538806,0.2495586445159267,-0.06094618427286527,-1.182371485226783
26,19.527815396309748,0.7895039643086988,-0.38178994752848644,0.21598366858902532,-0.1533324769184521,-1.1536740783552606
27,20.240451077866574,0.7126356815568248,-0.4153649234553879,0.24955864451592674,-0.06094618427286953,-1.1823714852267844
28,21.02995504217527,0.7895039643086984,-0.38178994752848733,0.21598366858902596,-0.15333247691844926,-1.1536740783552606
29,21.742590723732096,0.7126356815568267,-0.41536492345538795,0.24955864451592644,-0.0609461842728674,-1.182371485226784
30,22.532094688040793,0.7895039643086974,-0.3817899475284884,0.21598366858902732,-0.15333247691844393,-1.1536740783552615
31,23.244730369597622,0.7126356815568299,-0.4153649234553876,0.2495586445159262,-0.060946184272864204,-1.1823714852267817
32,24.03423433390632,0.789503964308698,-0.3817899475284871,0.21598366858902587,-0.1533324769184503,-1.1536740783552606
33,24.746870015463145,0.7126356815568263,-0.41536492345538795,0.2495586445159267,-0.0609461842728674,-1.1823714852267844
34,25.53637397977184,0.7895039643086978,-0.3817899475284876,0.21598366858902646,-0.15333247691844712,-1.1536740783552606
35,26.24900966132867,0.7126356815568281,-0.4153649234553876,0.24955864451592616,-0.0609461842728674,-1.182371485226783
36,27.038513625637368,0.7895039643086974,-0.38178994752848827,0.21598366858902715,-0.15333247691844357,-1.1536740783552604
37,27.751149307194197,0.7126356815568301,-0.41536492345538706,0.24955864451592558,-0.06094618427286811,-1.1823714852267824
38,28.540653271502894,0.7895039643086958,-0.38178994752848927,0.21598366858902782,-0.15333247691844215,-1.1536740783552624
39,29.253288953059723,0.7126356815568309,-0.4153649234553877,0.24955864451592646,-0.06094618427286172,-1.1823714852267815
40,30.042792917368423,0.7895039643086986,-0.381789947528486,0.21598366858902476,-0.15333247691845495,-1.1536740783552601
