t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
0.0,0,post_impact,-0.401092708453,0.219578466246,-0.087963122288,-1.170237773352,-0.21781822998902925,0.9759893537761805,-0.6082427907462519,0.05535443028178588,0.0,0.0
0.01,0,flow,-0.40135610550188466,0.2080664894973564,0.03529221297988756,-1.1323350445290665,-0.20656847831915387,0.978432145713186,-0.5972355180520825,0.057900090830625084,0.0,0.0
0.02,0,flow,-0.40038707031822296,0.19692828521242653,0.15848553938264487,-1.0954764858518327,-0.19565791326458437,0.9806722087308013,-0.5854327417643881,0.059762016004090035,0.0,0.0
0.03,0,flow,-0.39818736596479354,0.186153608762788,0.2813872615791072,-1.059623386924158,-0.1850803347493016,0.9827233942921509,-0.5728284917214929,0.06095804087260037,0.0,0.0
0.04,0,flow,-0.3947610843735461,0.17573258013319615,0.40376090994325914,-1.0247416720347187,-0.17482948190848055,0.9845987265153313,-0.559417141433878,0.061510251806229044,0.0,0.0
0.05,0,flow,-0.3901147238651824,0.1656556334791892,0.525361381806885,-0.9908027189348094,-0.1648990245400366,0.9863104540182793,-0.5451935463033171,0.06144501693197657,0.0,0.0
0.06,0,flow,-0.38425728431128825,0.15591345852358549,0.6459331767524981,-0.9577841704932862,-0.15528254231194752,0.9878700987747013,-0.530153227802315,0.06079298808757949,0.0,0.0
0.07,0,flow,-0.377200379830696,0.1464969339224829,0.7652086612082757,-0.9256707267855365,-0.14597349222423825,0.9892885016858632,-0.5142926031763981,0.05958907041390071,0.0,0.0
0.08,0,flow,-0.36895836850643704,0.1373970528730793,0.8829064083787805,-0.8944549016656557,-0.13696516494709074,0.9905758646317889,-0.49760925938651235,0.057872354857128716,0.0,0.0
0.09,0,flow,-0.35954849808986783,0.12860484141448203,0.9987296716303686,-0.8641377239353133,-0.12825063081509128,0.991741788821834,-0.48010226899471,0.055686008053231095,0.0,0.0
0.1,0,flow,-0.34899106601281,0.12011127009255725,1.1123650624745562,-0.8347293589838245,-0.11982267645641408,0.99279530931951,-0.4617725444900128,0.05307711339489962,0.0,0.0
0.11,0,flow,-0.33730959125030885,0.11190715992282255,1.2234815176410068,-0.806249622440819,-0.11167373327709734,0.9937449256705444,-0.442623226137871,0.050096456602111705,0.0,0.0
0.12,0,flow,-0.3245309946669522,0.10398308389090304,1.3317296524885318,-0.7787283532641581,-0.10379579930424496,0.9945986286169879,-0.42266009681444683,0.046798248909675544,0.0,0.0
0.13,0,flow,-0.31068578345050607,0.09632926557399789,1.4367416089108391,-0.7522056102020134,-0.09618035621405263,0.995363922933988,-0.4018920154735195,0.043239781136909294,0.0,0.0
