step,impact_time,step_period,theta_ns,theta_s,dtheta_ns,dtheta_s
1,0.7213842266594673,0.7213842266594673,-0.43739734704806,0.25588310484064986,0.05302369638921185,-1.1855757169967913
2,1.529727752100074,0.8083435254406066,-0.37952305253909563,0.19800881033168533,-0.18108161766484018,-1.1655010837229787
3,2.1911419335239968,0.6614141814239227,-0.43518371180331794,0.25366946959590747,-0.05661247017019982,-1.2284057145143092
4,2.971971066757391,0.7808291332333942,-0.42449147164146117,0.24297722943405065,0.05044094328461597,-1.165761778925135
5,3.756413534787015,0.7844424680296238,-0.3978493397877871,0.21633509758037703,-0.10624764449242896,-1.1706511884193014
6,4.468686552826782,0.712273018039767,-0.4393773543163696,0.25786311210895946,0.05242038086268757,-1.190146049558896
7,5.279700903624094,0.8110143507973125,-0.3779779422501056,0.1964637000426951,-0.18614613096674973,-1.1649181153376544
8,5.936615139133992,0.6569142355098981,-0.43387135293100537,0.25235711072359507,-0.07279762942571325,-1.2325335516907332
9,6.712015017578635,0.7753998784446426,-0.4304417853198805,0.24892754311247034,0.0818830856950342,-1.1650382364257292
10,7.51201237095565,0.7999973533770149,-0.38100163425391487,0.19948739204650467,-0.18135347088613152,-1.1669806497989594
11,8.17726777406687,0.6652554031112204,-0.4362770958637971,0.2547628536563867,-0.043539948724584936,-1.225117483884261
12,8.962536351241518,0.7852685771746483,-0.41935279468782766,0.2378385524804176,0.02345407831859099,-1.1663115633865577
13,9.733528928716549,0.7709925774750308,-0.41005636172949184,0.22854211952208076,-0.05086500098117135,-1.1726612494927735
14,10.477876724878906,0.7443477961623562,-0.4296157056510919,0.2481014634436815,0.034627231051909034,-1.1771592595387723
15,11.270650747919527,0.792774023040621,-0.39403670475684727,0.2125224625494372,-0.1195432923814252,-1.1690241839903965
16,11.973011197594623,0.702360449675096,-0.4401224652975184,0.25860822309010795,0.0425324533073507,-1.1960342747500936
17,12.78287683360157,0.809865636006946,-0.38171547316532745,0.2002012309579173,-0.16748843889550394,-1.1656093211764382
18,13.450818170895802,0.6679413372942326,-0.43688362944194803,0.25536938723453784,-0.03380795491857569,-1.22234643753821
19,14.239007842526771,0.7881896716309695,-0.4155860322767608,0.23407179006935042,0.0035867004618776125,-1.166700793731357
