-1.399083060261613332e-02 -9.354597994032998187e-02 9.520975079791828000e-01 2.907984552845530590e-01
-9.249279354007418005e-03 -9.228288851087418365e-02 9.534973241490365403e-01 2.867772169474910871e-01
-4.494191521743646361e-03 -9.106998735918631072e-02 9.548012226390778512e-01 2.829146247401950198e-01
2.773881283978298518e-04 -8.990668180846708712e-02 9.560128282237547737e-01 2.792063464422591679e-01
5.068610164933072711e-03 -8.879251436232578343e-02 9.571354977351841375e-01 2.756480320253227312e-01
9.882847345631277231e-03 -8.772716827103739512e-02 9.581723297552869889e-01 2.722353022053051186e-01
1.472372419008088559e-02 -8.671047198248410526e-02 9.591261721686845654e-01 2.689637370643047642e-01
1.959514961779940806e-02 -8.574240456389793652e-02 9.599996275419273584e-01 2.658288646675106004e-01
2.450135305085178461e-02 -8.482310219759069125e-02 9.607950562563816188e-01 2.628261495847611373e-01
2.944692444015264282e-02 -8.395286587489182717e-02 9.615145772802643487e-01 2.599509812060011860e-01
3.443685875712213657e-02 -8.313217042898843334e-02 9.621600664171794381e-01 2.571986617204615189e-01
3.947660557362532574e-02 -8.236167507796629539e-02 9.627331518134466526e-01 2.545643936022536913e-01
4.457212447617063533e-02 -8.164223567379880198e-02 9.632352064400668823e-01 2.520432664211180174e-01
4.972994713437318970e-02 -8.097491891661201535e-02 9.636673371946563593e-01 2.496302427363740473e-01
5.495724706461956738e-02 -8.036101879177834362e-02 9.640303701687689131e-01 2.473201428232087162e-01
6.026191828216102830e-02 -7.980207557222528114e-02 9.643248315152290751e-01 2.451076279156647608e-01
6.565266420625660848e-02 -7.929989781223460710e-02 9.645509232246779474e-01 2.429871815467041785e-01
7.113909850767656529e-02 -7.885658778183966822e-02 9.647084929393613395e-01 2.409530885412888845e-01
7.673185992228440111e-02 -7.847457091598715462e-02 9.647969967164666816e-01 2.389994111275275945e-01
8.244274334002872628e-02 -7.815663000263338434e-02 9.648154534242502356e-01 2.371199613928777206e-01
8.828485005213257408e-02 -7.790594488694350950e-02 9.647623890805167024e-01 2.353082693366274625e-01
9.427276063559553165e-02 -7.772613872068274976e-02 9.646357690394364859e-01 2.335575454816477825e-01
1.004227345481360639e-01 -7.762133196240421362e-02 9.644329154315696151e-01 2.318606366816490516e-01
1.067529415073566329e-01 -7.759620558124878664e-02 9.641504064947379327e-01 2.302099737521185185e-01
1.132837308776067781e-01 -7.765607526244956704e-02 9.637839536242540639e-01 2.285975088002588362e-01
1.200379463866921015e-01 -7.780697879831872943e-02 9.633282507690860141e-01 2.270146399413850713e-01
1.270412956042737407e-01 -7.805577936735255684e-02 9.627767892559611074e-01 2.254521203903956106e-01
1.343227854773790808e-01 -7.841028795072854662e-02 9.621216291971058654e-01 2.238999479146628058e-01
1.419152378170168427e-01 -7.887940912323837539e-02 9.613531158694900158e-01 2.223472300248675038e-01
1.498559027183462289e-01 -7.947331510924836306e-02 9.604595259441895960e-01 2.207820183553863280e-01
1.581871909923063813e-01 -8.020365470259729901e-02 9.594266236368736989e-01 2.191911043702708395e-01
1.669575537427747947e-01 -8.108380481204484347e-02 9.582371001731460058e-01 2.175597658051475758e-01
1.762225426700407271e-01 -8.212917474281793140e-02 9.568698611408500421e-01 2.158714500605849462e-01
1.860460945916940778e-01 -8.335757591223701135e-02 9.552991136420018181e-01 2.141073765661050399e-01
1.965020948913592802e-01 -8.478967261936187771e-02 9.534931878357992829e-01 2.122460338172035832e-01
2.076762875331479574e-01 -8.644953456270811076e-02 9.514130030015474082e-01 2.102625389600298877e-01
2.196686197438159904e-01 -8.836531583715699634e-02 9.490100529520016925e-01 2.081278161440355545e-01
2.325961278083829853e-01 -9.057009307954601296e-02 9.462237359377901891e-01 2.058075341576199591e-01
2.465965001864375838e-01 -9.310290216629291127e-02 9.429777806126821149e-01 2.032607216724231503e-01
2.618324808236471291e-01 -9.601002252941430448e-02 9.391754133380174618e-01 2.004379468588714241e-01
2.784973057761691573e-01 -9.934656762180431311e-02 9.346927539687461817e-01 1.972789037264304490e-01
2.968213875940564628e-01 -1.031784464928651723e-01 9.293696917706153471e-01 1.937091842537392583e-01
3.170804496414685314e-01 -1.075847623037037987e-01 9.229971414231707971e-01 1.896359256572311969e-01
3.396052321306151645e-01 -1.126606923272580468e-01 9.152990491853800759e-01 1.849418970222621583e-01
3.647926374581116904e-01 -1.185208280775665035e-01 9.059067287078135244e-01 1.794774187748151284e-01
3.931175653383101598e-01 -1.253027874922575391e-01 8.943219413043057564e-01 1.730492894260111103e-01
4.251433079281576877e-01 -1.331705304404794954e-01 8.798634828443914202e-01 1.654056501545287661e-01
4.615254254780740140e-01 -1.423159897513237571e-01 8.615898920363147528e-01 1.562155518481916916e-01
5.029979564263202807e-01 -1.529559316968179539e-01 8.381886978914921960e-01 1.450422197729646367e-01
5.503188368088239857e-01 -1.653175842761397951e-01 8.078222753240209553e-01 1.313104933842155486e-01
6.041292454963053116e-01 -1.796002896198133358e-01 7.679277989387280901e-01 1.142737341722260824e-01
6.646457211484675387e-01 -1.958901804728697682e-01 7.149996159972809018e-01 9.299812727727838069e-02
7.310635629923596390e-01 -2.139931122822125997e-01 6.444708538746518611e-01 6.641034005910477489e-02
8.005665681964793112e-01 -2.331548934556201824e-01 5.510077346273976051e-01 3.350286442371575024e-02
8.670985319785525780e-01 -2.517100416870534652e-01 4.298187277186968913e-01 -6.168634923665625852e-03
9.208264398663625894e-01 -2.669185569572985472e-01 2.795782446773837360e-01 -5.166388194848068466e-02
9.501638859103007650e-01 -2.755196070314676060e-01 1.062515796470736851e-01 -9.994067177863111273e-02
9.471693752445566883e-01 -2.752439808640152474e-01 -7.565872601628528815e-02 -1.462418639602167392e-01
9.126917744200809812e-01 -2.662757662935145708e-01 -2.479699885262350023e-01 -1.860156605800291074e-01
8.557742730569322109e-01 -2.511088461595590848e-01 -3.969165658551096487e-01 -2.169146853121764473e-01
7.880141265854487820e-01 -2.329730991521670180e-01 -5.172817350485058308e-01 -2.391168709196701825e-01
7.186375396620301448e-01 -2.144465795113974504e-01 -6.106834242151020220e-01 -2.542410401829017230e-01
6.530584452641299276e-01 -1.970430124192704135e-01 -6.818270445107335043e-01 -2.641980312184305513e-01
5.936531169866650082e-01 -1.814248995979499401e-01 -7.358219873627313001e-01 -2.706048510493692660e-01
5.409859695905734345e-01 -1.677463604566285238e-01 -7.770222542464306770e-01 -2.746484219242795732e-01
4.947307064364477314e-01 -1.559116954603553540e-01 -8.087797958685971622e-01 -2.771431275033193198e-01
4.542073387965885889e-01 -1.457263497478862302e-01 -8.335612031475898576e-01 -2.786310194138840735e-01
4.186532613207966103e-01 -1.369731425928392143e-01 -8.531499598037590726e-01 -2.794690520979861148e-01
3.873442220229905142e-01 -1.294462526875538033e-01 -8.688316500820488786e-01 -2.798922741810832004e-01
3.596392536426535891e-01 -1.229637905644691692e-01 -8.815372729042029176e-01 -2.800563334938049875e-01
3.349900873365624920e-01 -1.173703705648113799e-01 -8.919469298528259760e-01 -2.800651920996946598e-01
3.129355028917911730e-01 -1.125354473085245222e-01 -9.005627685796153692e-01 -2.799890068862524450e-01
2.930903791613086451e-01 -1.083501690770196368e-01 -9.077598155657665702e-01 -2.798756648014738002e-01
2.751338410822616320e-01 -1.047239868044719663e-01 -9.138214097595267482e-01 -2.797582655511872129e-01
2.587983076687149775e-01 -1.015815262940645836e-01 -9.189640389913833474e-01 -2.796600159197249469e-01
2.438600400634365895e-01 -9.885989117374296975e-02 -9.233548950407131084e-01 -2.795974616868481255e-01
2.301312566977800622e-01 -9.650641435622635267e-02 -9.271244051034838174e-01 -2.795826427736812225e-01
2.174536711008693834e-01 -9.447681584457442994e-02 -9.303752718945003108e-01 -2.796245440583852715e-01
2.056932418260396800e-01 -9.273370664662919372e-02 -9.331890654806090923e-01 -2.797300805885890584e-01
1.947359223204758738e-01 -9.124537835695233079e-02 -9.356310812560070245e-01 -2.799047717960615467e-01
1.844842223729916963e-01 -8.998482430735607607e-02 -9.377539572323064787e-01 -2.801532059159001498e-01
1.748544218266671058e-01 -8.892894691709084254e-02 -9.396003945218359688e-01 -2.804793614194986406e-01
1.657743061747885549e-01 -8.805791441634347461e-02 -9.412052229551532978e-01 -2.808868302410272300e-01
1.571813205365124033e-01 -8.735463678316954250e-02 -9.425969835943972530e-01 -2.813789729628395908e-01
1.490210577880392850e-01 -8.680433743469358199e-02 -9.437991516886560239e-01 -2.819590264737605878e-01
1.412460153583354472e-01 -8.639420177452951377e-02 -9.448310892852204157e-01 -2.826301784403755790e-01
1.338145683669973718e-01 -8.611308746799750669e-02 -9.457087929503263934e-01 -2.833956181664062379e-01
1.266901169815000394e-01 -8.595128496908856219e-02 -9.464454847704262264e-01 -2.842585710740298532e-01
1.198403759921253392e-01 -8.590031840935027918e-02 -9.470520825237770390e-01 -2.852223212979924649e-01
1.132367791354028930e-01 -8.595277980741239388e-02 -9.475375759626372130e-01 -2.862902262272812859e-01
