space_index,space_matrix,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
1,"0;1",0,0,0,0,0,4,123,121,117,121,116,108,111,104,98,97,96,88,81,81,86,66,58,69,68,65,63,57,63,52
2,"1;1",0,0,11,13,11,14,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"1;0",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
