space_index,space_matrix,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
1,"0;1",0,0,0,0,0,0,66,84,98,102,113,110,110,114,115,122,134,120,137,144,147,147,150,150,150,150,150,150,150,150
