space_index,space_matrix,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
1,"0 0;1 0;0 1",0,0,0,0,0,0,9,35,41,50,48,75,66,63,57,67,44,44,30,27,21,3,0,0,0,0,0,0,0,0
2,"1 0;0 0;0 1",0,0,0,0,0,0,22,26,20,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"1 0;0 1;0 1",0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
