segment_length,rank0,rank1,rank2,rank3
50,150,0,0,0
100,150,0,0,0
150,144,6,0,0
200,131,19,0,0
250,126,24,0,0
300,111,39,0,0
350,1,114,31,4
400,0,76,61,13
450,0,62,61,27
500,0,39,70,41
550,0,30,59,61
600,0,3,78,69
650,0,0,66,84
700,0,0,63,87
750,0,0,57,93
800,0,0,67,83
850,0,0,44,106
900,0,0,44,106
950,0,0,30,120
1000,0,0,27,123
1050,0,0,21,129
1100,0,0,3,147
1150,0,0,0,150
1200,0,0,0,150
1250,0,0,0,150
1300,0,0,0,150
1350,0,0,0,150
1400,0,0,0,150
1450,0,0,0,150
1500,0,0,0,150
