segment_length,rank0,rank1,rank2,rank3
50,150,0,0,0
100,150,0,0,0
150,139,11,0,0
200,136,13,1,0
250,134,13,3,0
300,132,18,0,0
350,4,131,15,0
400,0,124,26,0
450,0,120,30,0
500,0,121,29,0
550,0,116,34,0
600,0,108,42,0
650,0,111,39,0
700,0,104,46,0
750,0,98,52,0
800,0,97,53,0
850,0,96,54,0
900,0,88,62,0
950,0,81,69,0
1000,0,81,69,0
1050,0,86,64,0
1100,0,66,84,0
1150,0,58,92,0
1200,0,69,81,0
1250,0,68,82,0
1300,0,65,85,0
1350,0,63,87,0
1400,0,57,93,0
1450,0,63,87,0
1500,0,52,98,0
