segment_length,rank0,rank1,rank2,rank3
50,150,0,0,0
100,150,0,0,0
150,150,0,0,0
200,150,0,0,0
250,150,0,0,0
300,150,0,0,0
350,52,94,4,0
400,24,108,18,0
450,10,122,18,0
500,0,121,29,0
550,0,98,52,0
600,0,69,81,0
650,0,0,150,0
700,0,0,150,0
750,0,0,150,0
800,0,0,150,0
850,0,0,150,0
900,0,0,150,0
950,0,0,150,0
1000,0,0,150,0
1050,0,0,150,0
1100,0,0,150,0
1150,0,0,150,0
1200,0,0,150,0
1250,0,0,150,0
1300,0,0,150,0
1350,0,0,150,0
1400,0,0,150,0
1450,0,0,150,0
1500,0,0,150,0
