segment_length,rank0,rank1,rank2,rank3
50,150,0,0,0
100,150,0,0,0
150,150,0,0,0
200,150,0,0,0
250,150,0,0,0
300,150,0,0,0
350,114,36,0,0
400,94,56,0,0
450,85,65,0,0
500,81,66,3,0
550,73,70,7,0
600,72,73,5,0
650,4,60,86,0
700,0,49,101,0
750,0,48,102,0
800,0,39,111,0
850,0,35,115,0
900,0,30,120,0
950,0,17,133,0
1000,0,16,134,0
1050,0,8,142,0
1100,0,3,147,0
1150,0,0,150,0
1200,0,0,150,0
1250,0,0,150,0
1300,0,0,150,0
1350,0,0,150,0
1400,0,0,150,0
1450,0,0,150,0
1500,0,0,150,0
