segment_length,rank0,rank1,rank2,rank3
50,150,0,0,0
100,150,0,0,0
150,150,0,0,0
200,143,7,0,0
250,144,6,0,0
300,143,7,0,0
350,27,120,3,0
400,15,118,17,0
450,5,132,13,0
500,0,141,9,0
550,0,133,17,0
600,0,132,18,0
650,0,138,12,0
700,0,125,25,0
750,0,120,30,0
800,0,122,28,0
850,0,125,25,0
900,0,121,29,0
950,0,113,37,0
1000,0,116,34,0
1050,0,119,31,0
1100,0,108,42,0
1150,0,104,46,0
1200,0,120,30,0
1250,0,116,34,0
1300,0,99,51,0
1350,0,105,45,0
1400,0,95,55,0
1450,0,103,47,0
1500,0,96,54,0
