space_index,space_matrix,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
1,"0;1;1",0,0,0,0,0,7,62,45,40,31,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"0;0;1",0,0,0,0,0,0,34,29,22,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"1;0;1",0,0,6,19,24,32,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
