segment_length,rank0,rank1,rank2
100,30,0,0
125,26,4,0
150,14,16,0
175,11,19,0
200,3,27,0
225,0,30,0
250,0,30,0
275,0,30,0
300,0,30,0
325,0,30,0
350,0,30,0
375,0,30,0
400,0,30,0
