radius,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300
0.243,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.246,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.255,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.258,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.267,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.279,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.282,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.291,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.294,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
