segment_length,rank0,rank1,rank2,rank3
20,20,0,0,0
40,20,0,0,0
60,0,20,0,0
80,0,20,0,0
100,0,20,0,0
120,0,20,0,0
140,0,20,0,0
160,0,20,0,0
180,0,20,0,0
200,0,20,0,0
220,0,20,0,0
240,0,20,0,0
260,0,20,0,0
280,0,20,0,0
300,0,20,0,0
