radius,100,200,400,800,1200
0.0,0,0,0,0,0
0.015,0,20,20,20,20
0.03,0,20,20,20,20
0.045,0,20,20,20,20
0.06,0,20,20,20,20
0.075,0,20,20,20,20
0.09,0,20,20,20,20
0.105,0,20,20,20,20
0.12,0,20,20,20,20
0.135,0,20,20,20,20
0.15,0,20,20,20,20
0.165,0,20,20,20,20
0.18,0,20,20,20,20
0.195,0,20,20,20,20
0.21,0,20,20,20,20
0.225,0,20,20,20,20
0.24,0,20,20,20,20
0.255,0,20,20,20,20
0.27,0,20,20,20,20
0.285,0,20,20,20,20
0.3,0,20,20,20,20
0.315,0,20,20,20,20
0.33,0,20,20,20,20
0.345,0,20,20,20,20
0.36,0,20,20,20,20
0.375,0,20,20,20,20
0.39,0,20,20,20,20
0.405,0,20,20,20,20
0.42,0,20,20,20,20
0.435,0,20,20,20,20
0.45,0,20,20,20,20
0.465,0,20,20,20,20
0.48,0,20,20,20,20
0.495,0,20,20,20,20
0.51,0,20,20,20,20
0.525,0,20,20,20,20
0.54,0,20,20,20,20
0.555,0,20,20,20,20
0.57,0,20,20,20,20
0.585,0,20,20,20,20
0.6,0,20,20,20,20
0.615,0,20,20,20,20
0.63,0,20,20,20,20
0.645,0,20,20,20,20
0.66,0,20,20,20,20
0.675,0,20,20,20,20
0.69,0,20,20,20,20
0.705,0,20,20,20,20
0.72,0,20,20,20,20
0.735,0,20,20,20,20
0.75,0,20,20,20,20
0.765,0,20,20,20,20
0.78,0,20,20,20,20
0.795,0,20,20,20,20
0.81,0,20,20,20,20
0.825,0,20,20,20,20
0.84,0,20,20,20,20
0.855,0,20,20,20,20
0.87,0,20,20,20,20
0.885,0,20,20,20,20
0.9,0,20,20,20,20
0.915,0,20,20,20,20
0.93,0,20,20,20,20
0.945,0,20,20,20,20
0.96,0,20,20,20,20
0.975,0,20,20,20,20
0.99,0,20,20,20,20
1.005,0,20,20,20,20
1.02,0,20,20,20,20
1.035,0,20,20,20,20
1.05,0,20,20,20,20
1.065,0,20,20,20,20
1.08,0,20,20,20,20
1.095,0,20,20,20,20
1.11,0,20,20,20,20
1.125,0,20,20,20,20
1.14,0,20,20,20,20
1.155,0,20,20,20,20
1.17,0,20,20,20,20
1.185,0,20,20,20,20
1.2,0,20,20,20,20
1.215,0,20,20,20,20
1.23,0,20,20,20,20
1.245,0,20,20,20,20
1.26,0,20,20,20,20
1.275,0,20,20,20,20
1.29,0,20,20,20,20
1.305,0,20,20,20,20
1.32,0,20,20,20,20
1.335,0,20,20,20,20
1.35,0,20,20,20,20
1.365,0,20,20,20,20
1.38,0,20,20,20,20
1.395,0,20,20,20,20
1.41,0,20,20,20,20
1.425,0,20,20,20,20
1.44,0,20,20,20,20
1.455,0,20,20,20,20
1.47,0,20,20,20,20
1.485,0,20,20,20,20
1.5,0,20,20,20,20
