radius,100,200,400,800,1200
0.0,20,20,20,20,20
0.015,20,20,20,20,20
0.03,20,20,20,20,20
0.045,20,20,20,20,20
0.06,20,20,20,20,20
0.075,20,20,20,20,20
0.09,20,20,20,20,20
0.105,20,20,20,20,20
0.12,20,20,20,20,20
0.135,20,20,20,20,16
0.15,20,20,19,18,12
0.165,20,20,19,18,12
0.18,20,20,19,18,11
0.195,20,20,16,13,8
0.21,20,20,16,11,7
0.225,20,20,14,9,5
0.24,20,20,13,9,5
0.255,20,20,13,9,5
0.27,20,20,13,9,5
0.285,20,20,12,9,2
0.3,20,20,12,9,2
0.315,20,20,12,9,2
0.33,20,20,12,9,2
0.345,20,20,12,9,1
0.36,20,20,12,9,1
0.375,20,20,10,7,0
0.39,20,20,10,7,0
0.405,20,20,10,4,0
0.42,20,20,10,4,0
0.435,20,20,10,3,0
0.45,20,20,10,3,0
0.465,20,20,10,3,0
0.48,20,20,10,3,0
0.495,20,20,9,2,0
0.51,20,20,9,2,0
0.525,20,20,9,2,0
0.54,20,20,8,2,0
0.555,20,20,8,2,0
0.57,20,20,7,2,0
0.585,20,20,7,2,0
0.6,20,20,7,0,0
0.615,20,20,7,0,0
0.63,20,20,7,0,0
0.645,20,20,7,0,0
0.66,20,20,7,0,0
0.675,20,20,7,0,0
0.69,20,20,7,0,0
0.705,20,20,7,0,0
0.72,20,20,7,0,0
0.735,20,20,7,0,0
0.75,20,20,7,0,0
0.765,20,20,6,0,0
0.78,20,20,6,0,0
0.795,20,20,6,0,0
0.81,20,20,5,0,0
0.825,20,20,5,0,0
0.84,20,20,5,0,0
0.855,20,20,5,0,0
0.87,20,20,4,0,0
0.885,20,20,3,0,0
0.9,20,20,3,0,0
0.915,20,20,2,0,0
0.93,20,20,2,0,0
0.945,20,20,2,0,0
0.96,20,20,2,0,0
0.975,20,20,2,0,0
0.99,20,20,2,0,0
1.005,20,20,2,0,0
1.02,20,19,2,0,0
1.035,20,19,2,0,0
1.05,20,19,2,0,0
1.065,20,19,2,0,0
1.08,20,19,2,0,0
1.095,20,19,2,0,0
1.11,20,19,2,0,0
1.125,20,18,2,0,0
1.14,20,18,2,0,0
1.155,20,18,2,0,0
1.17,20,18,2,0,0
1.185,20,18,2,0,0
1.2,20,18,2,0,0
1.215,20,18,2,0,0
1.23,20,18,2,0,0
1.245,20,18,1,0,0
1.26,20,18,1,0,0
1.275,20,18,0,0,0
1.29,20,17,0,0,0
1.305,20,17,0,0,0
1.32,20,17,0,0,0
1.335,20,17,0,0,0
1.35,20,17,0,0,0
1.365,20,17,0,0,0
1.38,20,17,0,0,0
1.395,20,17,0,0,0
1.41,20,17,0,0,0
1.425,20,17,0,0,0
1.44,20,17,0,0,0
1.455,20,17,0,0,0
1.47,20,16,0,0,0
1.485,20,16,0,0,0
1.5,20,16,0,0,0
