space_index,space_matrix,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600
1,"1",0,0,0,0,0,0,0,0,0,0,0,76,97,104,115,117,125,132,139,142,147,156,149,154,151,160,163,158,147,163,163,170,168,177,162,176,182,181,185,188,190,190,191,196,198,200,200,200,200,200,200,200,200,200,200,200,200,200,200
