boxsize,sb_radius,C,beta1_Y
0.05,1,0.05,1
0.075,1,0.075,3
0.1,1,0.1,7
0.15,1,0.15,6
0.2,1,0.2,4
0.25,1,0.25,1
0.3,1,0.3,1
0.4,1,0.4,1
0.5,1,0.5,1
