7.402711529412905334e-01 -6.723083806386066508e-01 2.478831718730262396e-04
7.529128122197382700e-01 -6.581202252166598043e-01 2.575968514395956047e-04
7.652858189935107802e-01 -6.436905651046795906e-01 2.676614462475535960e-04
7.773863861201807390e-01 -6.290233138262161239e-01 2.780972685058696555e-04
7.892107294974947118e-01 -6.141224152950985893e-01 2.889258496413517840e-04
8.007550662130703545e-01 -5.989918478844706851e-01 3.001700325460158439e-04
8.120156129709447113e-01 -5.836356286575218322e-01 3.118540688191719589e-04
8.229885848039296681e-01 -5.680578177474635559e-01 3.240037262569542688e-04
8.336701940803358246e-01 -5.522625228740890568e-01 3.366464043931419810e-04
8.440566498134629558e-01 -5.362539039836971000e-01 3.498112591913693785e-04
8.541441572820311912e-01 -5.200361779985958055e-01 3.635293405018803488e-04
8.639289179692912768e-01 -5.036136236621049367e-01 3.778337377034169070e-04
8.734071298284794560e-01 -4.869905864640114990e-01 3.927597430306095454e-04
8.825749878816021576e-01 -4.701714836313792834e-01 4.083450229472100580e-04
8.914286851585185856e-01 -4.531608091683100858e-01 4.246298120395645948e-04
8.999644139824103384e-01 -4.359631389283831204e-01 4.416571155604215055e-04
9.081783676076996548e-01 -4.185831357018945376e-01 4.594729406967356169e-04
9.160667422153673245e-01 -4.010255543003951595e-01 4.781265361574661308e-04
9.236257392705997660e-01 -3.832952466190308050e-01 4.976706685702956667e-04
9.308515682463240903e-01 -3.653971666578650912e-01 5.181619087730867865e-04
9.377404497160435337e-01 -3.473363754811772397e-01 5.396609592536427387e-04
9.442886188179689944e-01 -3.291180460942613739e-01 5.622330017213378979e-04
9.504923290918523282e-01 -3.107474682155749179e-01 5.859480830090736626e-04
9.563478566886919330e-01 -2.922300529218214704e-01 6.108815389304690126e-04
9.618515049523125304e-01 -2.735713371428858953e-01 6.371144519981746055e-04
9.669996093707196039e-01 -2.547769879823600370e-01 6.647341665872600952e-04
9.717885428935107983e-01 -2.358528068396103239e-01 6.938348394860043098e-04
9.762147216104275493e-01 -2.168047333077787187e-01 7.245180592217668721e-04
9.802746107843169909e-01 -1.976388488224325168e-01 7.568935192135096621e-04
9.839647312302182147e-01 -1.783613800346441625e-01 7.910797567816038340e-04
9.872816660304502001e-01 -1.589787018819139586e-01 8.272049806206130352e-04
9.902220675736145283e-01 -1.394973403305086734e-01 8.654079674961928648e-04
9.927826649034811046e-01 -1.199239747620812757e-01 9.058390617041536938e-04
9.949602713615441907e-01 -1.002654399777985622e-01 9.486612781986827891e-04
9.967517925048341443e-01 -8.052872779314383667e-02 9.940515165917751354e-04
9.981542342782351307e-01 -6.072098819684883936e-02 1.042201913334518453e-03
9.991647114181616551e-01 -4.084953004782206770e-02 1.093321331515463481e-03
9.997804560619424352e-01 -2.092182128449144099e-02 1.147637013314842030e-03
9.999988265346851923e-01 -9.454886218358664069e-04 1.205396415563468474e-03
9.998173162827734828e-01 1.907168328775562388e-02 1.266869244954291988e-03
9.992335629204418534e-01 3.912175325230479034e-02 1.332349723295185064e-03
9.982453573531424595e-01 5.919662551867536232e-02 1.402159084660244788e-03
9.968506529386005344e-01 7.928805234962559012e-02 1.476648397146989016e-03
9.950475746437007496e-01 9.938763721961997588e-02 1.556201654700801714e-03
9.928344281524751347e-01 1.194868386427261203e-01 1.641239261930451136e-03
9.902097088774709510e-01 1.395769746490102825e-01 1.732221874863765785e-03
9.871721108244349008e-01 1.596492279151350280e-01 1.829654757333323226e-03
9.837205352563825889e-01 1.796946515644226305e-01 1.934092561596434173e-03
9.798540991015589618e-01 1.997041756338247265e-01 2.046144737458759598e-03
9.755721430459859400e-01 2.196686142130963582e-01 2.166481562380277812e-03
9.708742392473890259e-01 2.395786732593021551e-01 2.295840829863721958e-03
9.657601986075635692e-01 2.594249590690780316e-01 2.435035417914726153e-03
9.602300775361022334e-01 2.791979873986991656e-01 2.584961803732775416e-03
9.542841841285878424e-01 2.988881932405458297e-01 2.746609443898833606e-03
