radius,100,125,150,175,200,225,250,275,300,325,350,375,400
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,1,0,0,1,0,0,2,0,3
0.02,0,0,2,3,2,4,2,3,4,4,4,5,4
0.03,0,0,3,5,3,6,4,7,5,7,7,10,6
0.04,0,0,3,5,4,7,6,13,6,9,10,11,8
0.05,0,0,3,6,4,9,8,14,8,11,13,13,9
0.06,0,0,3,6,4,10,8,14,9,14,15,13,12
0.07,0,0,4,8,7,11,9,15,11,16,17,16,16
0.08,0,0,6,13,7,14,12,15,16,18,19,19,19
0.09,0,0,8,14,9,15,12,16,18,20,19,23,20
0.1,0,1,11,14,12,17,15,20,21,27,23,27,26
0.11,0,1,13,19,20,22,20,27,27,27,25,29,29
0.12,0,1,13,21,22,29,28,30,30,30,30,30,30
0.13,0,3,15,21,22,30,30,30,30,30,30,30,30
0.14,0,3,15,21,22,30,30,30,30,30,30,30,30
0.15,0,5,15,23,23,30,30,30,30,30,30,30,30
0.16,0,6,15,24,24,30,30,30,30,30,30,30,30
0.17,0,6,16,24,24,30,30,30,30,30,30,30,30
0.18,0,6,18,24,24,30,30,30,30,30,30,30,30
0.19,0,6,18,24,24,30,30,30,30,30,30,30,30
0.2,0,6,18,25,25,30,30,30,30,30,30,30,30
0.21,0,7,18,25,25,30,30,30,30,30,30,30,30
0.22,0,7,19,27,25,30,30,30,30,30,30,30,30
0.23,0,8,19,27,25,30,30,30,30,30,30,30,30
0.24,0,8,19,27,25,30,30,30,30,30,30,30,30
0.25,0,9,20,27,26,30,30,30,30,30,30,30,30
0.26,0,10,21,27,26,30,30,30,30,30,30,30,30
0.27,0,10,23,27,27,30,30,30,30,30,30,30,30
0.28,0,11,23,27,29,30,30,30,30,30,30,30,30
0.29,0,11,23,27,29,30,30,30,30,30,30,30,30
0.3,0,11,23,27,29,30,30,30,30,30,30,30,30
0.31,0,11,23,27,30,30,30,30,30,30,30,30,30
0.32,0,11,24,27,30,30,30,30,30,30,30,30,30
0.33,0,12,24,27,30,30,30,30,30,30,30,30,30
0.34,0,12,24,27,30,30,30,30,30,30,30,30,30
0.35,0,12,24,27,30,30,30,30,30,30,30,30,30
0.36,0,12,24,27,30,30,30,30,30,30,30,30,30
0.37,0,13,24,27,30,30,30,30,30,30,30,30,30
0.38,0,13,25,28,30,30,30,30,30,30,30,30,30
0.39,0,13,25,29,30,30,30,30,30,30,30,30,30
0.4,0,13,25,29,30,30,30,30,30,30,30,30,30
0.41,0,13,26,29,30,30,30,30,30,30,30,30,30
0.42,0,16,26,29,30,30,30,30,30,30,30,30,30
0.43,0,16,27,29,30,30,30,30,30,30,30,30,30
0.44,0,16,27,29,30,30,30,30,30,30,30,30,30
0.45,0,16,27,29,30,30,30,30,30,30,30,30,30
0.46,0,16,28,29,30,30,30,30,30,30,30,30,30
0.47,0,16,28,29,30,30,30,30,30,30,30,30,30
0.48,0,16,28,29,30,30,30,30,30,30,30,30,30
0.49,0,17,29,30,30,30,30,30,30,30,30,30,30
0.5,0,17,30,30,30,30,30,30,30,30,30,30,30
