index,relaxed_time,physical_time,piece,step,impact,s,event
0,0.0,0.0,arc,0,1,0.0,post_impact
1,0.01,0.01,arc,0,1,0.0,flow
2,0.02,0.02,arc,0,1,0.0,flow
3,0.03,0.03,arc,0,1,0.0,flow
4,0.04,0.04,arc,0,1,0.0,flow
5,0.05,0.05,arc,0,1,0.0,flow
6,0.06,0.06,arc,0,1,0.0,flow
7,0.07,0.07,arc,0,1,0.0,flow
8,0.08,0.08,arc,0,1,0.0,flow
9,0.09,0.09,arc,0,1,0.0,flow
10,0.1,0.1,arc,0,1,0.0,flow
11,0.11,0.11,arc,0,1,0.0,flow
12,0.12,0.12,arc,0,1,0.0,flow
13,0.13,0.13,arc,0,1,0.0,flow
14,0.14,0.14,arc,0,1,0.0,flow
15,0.15,0.15,arc,0,1,0.0,flow
16,0.16,0.16,arc,0,1,0.0,flow
17,0.17,0.17,arc,0,1,0.0,flow
18,0.18,0.18,arc,0,1,0.0,flow
19,0.19,0.19,arc,0,1,0.0,flow
20,0.2,0.2,arc,0,1,0.0,flow
21,0.21,0.21,arc,0,1,0.0,flow
22,0.22,0.22,arc,0,1,0.0,flow
23,0.23,0.23,arc,0,1,0.0,flow
24,0.24,0.24,arc,0,1,0.0,flow
25,0.25,0.25,arc,0,1,0.0,flow
26,0.26,0.26,arc,0,1,0.0,flow
27,0.27,0.27,arc,0,1,0.0,flow
28,0.28,0.28,arc,0,1,0.0,flow
29,0.29,0.29,arc,0,1,0.0,flow
30,0.3,0.3,arc,0,1,0.0,flow
31,0.31,0.31,arc,0,1,0.0,flow
32,0.32,0.32,arc,0,1,0.0,flow
33,0.33,0.33,arc,0,1,0.0,flow
34,0.34,0.34,arc,0,1,0.0,flow
35,0.35000000000000003,0.35000000000000003,arc,0,1,0.0,flow
36,0.36,0.36,arc,0,1,0.0,flow
37,0.37,0.37,arc,0,1,0.0,flow
38,0.38,0.38,arc,0,1,0.0,flow
39,0.39,0.39,arc,0,1,0.0,flow
40,0.4,0.4,arc,0,1,0.0,flow
41,0.41000000000000003,0.41000000000000003,arc,0,1,0.0,flow
42,0.42,0.42,arc,0,1,0.0,flow
43,0.43,0.43,arc,0,1,0.0,flow
44,0.44,0.44,arc,0,1,0.0,flow
45,0.45,0.45,arc,0,1,0.0,flow
46,0.46,0.46,arc,0,1,0.0,flow
47,0.47000000000000003,0.47000000000000003,arc,0,1,0.0,flow
48,0.48,0.48,arc,0,1,0.0,flow
49,0.49,0.49,arc,0,1,0.0,flow
50,0.5,0.5,arc,0,1,0.0,flow
51,0.51,0.51,arc,0,1,0.0,flow
52,0.52,0.52,arc,0,1,0.0,flow
53,0.53,0.53,arc,0,1,0.0,flow
54,0.54,0.54,arc,0,1,0.0,flow
55,0.55,0.55,arc,0,1,0.0,flow
56,0.56,0.56,arc,0,1,0.0,flow
57,0.5700000000000001,0.5700000000000001,arc,0,1,0.0,flow
58,0.58,0.58,arc,0,1,0.0,flow
59,0.59,0.59,arc,0,1,0.0,flow
60,0.6,0.6,arc,0,1,0.0,flow
61,0.61,0.61,arc,0,1,0.0,flow
62,0.62,0.62,arc,0,1,0.0,flow
63,0.63,0.63,arc,0,1,0.0,flow
64,0.64,0.64,arc,0,1,0.0,flow
65,0.65,0.65,arc,0,1,0.0,flow
66,0.66,0.66,arc,0,1,0.0,flow
67,0.67,0.67,arc,0,1,0.0,flow
68,0.68,0.68,arc,0,1,0.0,flow
69,0.6900000000000001,0.6900000000000001,arc,0,1,0.0,flow
70,0.7000000000000001,0.7000000000000001,arc,0,1,0.0,flow
71,0.71,0.71,arc,0,1,0.0,flow
72,0.72,0.72,arc,0,1,0.0,flow
73,0.7213842266594673,0.7213842266594673,arc,0,1,0.0,pre_impact
74,0.7413842266594673,0.7213842266594673,bridge,0,1,0.02,bridge
75,0.7613842266594674,0.7213842266594673,bridge,0,1,0.04,bridge
76,0.7813842266594673,0.7213842266594673,bridge,0,1,0.06,bridge
77,0.8013842266594673,0.7213842266594673,bridge,0,1,0.08,bridge
78,0.8213842266594673,0.7213842266594673,bridge,0,1,0.1,bridge
79,0.8413842266594673,0.7213842266594673,bridge,0,1,0.12,bridge
80,0.8613842266594673,0.7213842266594673,bridge,0,1,0.14,bridge
81,0.8813842266594674,0.7213842266594673,bridge,0,1,0.16,bridge
82,0.9013842266594674,0.7213842266594673,bridge,0,1,0.18,bridge
83,0.9213842266594674,0.7213842266594673,bridge,0,1,0.2,bridge
84,0.9413842266594673,0.7213842266594673,bridge,0,1,0.22,bridge
85,0.9613842266594673,0.7213842266594673,bridge,0,1,0.24,bridge
86,0.9813842266594673,0.7213842266594673,bridge,0,1,0.26,bridge
87,1.0013842266594675,0.7213842266594673,bridge,0,1,0.28,bridge
88,1.0213842266594673,0.7213842266594673,bridge,0,1,0.3,bridge
89,1.0413842266594673,0.7213842266594673,bridge,0,1,0.32,bridge
90,1.0613842266594673,0.7213842266594673,bridge,0,1,0.34,bridge
91,1.0813842266594673,0.7213842266594673,bridge,0,1,0.36,bridge
92,1.1013842266594673,0.7213842266594673,bridge,0,1,0.38,bridge
93,1.1213842266594674,0.7213842266594673,bridge,0,1,0.4,bridge
94,1.1413842266594674,0.7213842266594673,bridge,0,1,0.42,bridge
95,1.1613842266594674,0.7213842266594673,bridge,0,1,0.44,bridge
96,1.1813842266594674,0.7213842266594673,bridge,0,1,0.46,bridge
97,1.2013842266594672,0.7213842266594673,bridge,0,1,0.48,bridge
98,1.2213842266594672,0.7213842266594673,bridge,0,1,0.5,bridge
99,1.2413842266594672,0.7213842266594673,bridge,0,1,0.52,bridge
100,1.2613842266594673,0.7213842266594673,bridge,0,1,0.54,bridge
101,1.2813842266594673,0.7213842266594673,bridge,0,1,0.56,bridge
102,1.3013842266594673,0.7213842266594673,bridge,0,1,0.58,bridge
103,1.3213842266594673,0.7213842266594673,bridge,0,1,0.6,bridge
104,1.3413842266594673,0.7213842266594673,bridge,0,1,0.62,bridge
105,1.3613842266594673,0.7213842266594673,bridge,0,1,0.64,bridge
106,1.3813842266594674,0.7213842266594673,bridge,0,1,0.66,bridge
107,1.4013842266594674,0.7213842266594673,bridge,0,1,0.68,bridge
108,1.4213842266594674,0.7213842266594673,bridge,0,1,0.7000000000000001,bridge
109,1.4413842266594674,0.7213842266594673,bridge,0,1,0.72,bridge
110,1.4613842266594674,0.7213842266594673,bridge,0,1,0.74,bridge
111,1.4813842266594675,0.7213842266594673,bridge,0,1,0.76,bridge
112,1.5013842266594675,0.7213842266594673,bridge,0,1,0.78,bridge
113,1.5213842266594675,0.7213842266594673,bridge,0,1,0.8,bridge
114,1.5413842266594675,0.7213842266594673,bridge,0,1,0.8200000000000001,bridge
115,1.5613842266594673,0.7213842266594673,bridge,0,1,0.84,bridge
116,1.5813842266594673,0.7213842266594673,bridge,0,1,0.86,bridge
117,1.6013842266594673,0.7213842266594673,bridge,0,1,0.88,bridge
118,1.6213842266594674,0.7213842266594673,bridge,0,1,0.9,bridge
119,1.6413842266594674,0.7213842266594673,bridge,0,1,0.92,bridge
120,1.6613842266594674,0.7213842266594673,bridge,0,1,0.9400000000000001,bridge
121,1.6813842266594672,0.7213842266594673,bridge,0,1,0.96,bridge
122,1.7013842266594672,0.7213842266594673,bridge,0,1,0.98,bridge
123,1.7213842266594672,0.7213842266594673,bridge,0,1,1.0,bridge_end
124,1.7213842266594672,0.7213842266594673,arc,1,2,0.0,post_impact
125,1.7313842266594675,0.7313842266594673,arc,1,2,0.0,flow
126,1.7413842266594672,0.7413842266594673,arc,1,2,0.0,flow
127,1.7513842266594675,0.7513842266594674,arc,1,2,0.0,flow
128,1.7613842266594673,0.7613842266594674,arc,1,2,0.0,flow
129,1.7713842266594675,0.7713842266594674,arc,1,2,0.0,flow
130,1.7813842266594673,0.7813842266594673,arc,1,2,0.0,flow
131,1.7913842266594673,0.7913842266594673,arc,1,2,0.0,flow
132,1.8013842266594673,0.8013842266594673,arc,1,2,0.0,flow
133,1.8113842266594673,0.8113842266594673,arc,1,2,0.0,flow
134,1.8213842266594673,0.8213842266594673,arc,1,2,0.0,flow
135,1.8313842266594673,0.8313842266594673,arc,1,2,0.0,flow
136,1.8413842266594673,0.8413842266594673,arc,1,2,0.0,flow
137,1.8513842266594673,0.8513842266594673,arc,1,2,0.0,flow
138,1.8613842266594673,0.8613842266594673,arc,1,2,0.0,flow
139,1.8713842266594674,0.8713842266594674,arc,1,2,0.0,flow
140,1.8813842266594674,0.8813842266594674,arc,1,2,0.0,flow
141,1.8913842266594674,0.8913842266594674,arc,1,2,0.0,flow
142,1.9013842266594674,0.9013842266594674,arc,1,2,0.0,flow
143,1.9113842266594674,0.9113842266594674,arc,1,2,0.0,flow
144,1.9213842266594674,0.9213842266594674,arc,1,2,0.0,flow
145,1.9313842266594672,0.9313842266594673,arc,1,2,0.0,flow
146,1.9413842266594674,0.9413842266594673,arc,1,2,0.0,flow
147,1.9513842266594672,0.9513842266594673,arc,1,2,0.0,flow
148,1.9613842266594674,0.9613842266594673,arc,1,2,0.0,flow
149,1.9713842266594672,0.9713842266594673,arc,1,2,0.0,flow
150,1.9813842266594675,0.9813842266594673,arc,1,2,0.0,flow
151,1.9913842266594672,0.9913842266594673,arc,1,2,0.0,flow
152,2.0013842266594675,1.0013842266594675,arc,1,2,0.0,flow
153,2.0113842266594673,1.0113842266594673,arc,1,2,0.0,flow
154,2.0213842266594675,1.0213842266594673,arc,1,2,0.0,flow
155,2.0313842266594673,1.0313842266594673,arc,1,2,0.0,flow
156,2.041384226659467,1.0413842266594673,arc,1,2,0.0,flow
157,2.0513842266594673,1.0513842266594673,arc,1,2,0.0,flow
158,2.0613842266594675,1.0613842266594673,arc,1,2,0.0,flow
159,2.0713842266594673,1.0713842266594673,arc,1,2,0.0,flow
160,2.081384226659467,1.0813842266594673,arc,1,2,0.0,flow
161,2.0913842266594673,1.0913842266594673,arc,1,2,0.0,flow
162,2.1013842266594676,1.1013842266594673,arc,1,2,0.0,flow
163,2.1113842266594673,1.1113842266594673,arc,1,2,0.0,flow
164,2.121384226659467,1.1213842266594674,arc,1,2,0.0,flow
165,2.1313842266594674,1.1313842266594674,arc,1,2,0.0,flow
166,2.1413842266594676,1.1413842266594674,arc,1,2,0.0,flow
167,2.1513842266594674,1.1513842266594674,arc,1,2,0.0,flow
168,2.161384226659467,1.1613842266594674,arc,1,2,0.0,flow
169,2.1713842266594674,1.1713842266594674,arc,1,2,0.0,flow
170,2.1813842266594676,1.1813842266594674,arc,1,2,0.0,flow
171,2.1913842266594674,1.1913842266594674,arc,1,2,0.0,flow
172,2.201384226659467,1.2013842266594672,arc,1,2,0.0,flow
173,2.2113842266594674,1.2113842266594674,arc,1,2,0.0,flow
174,2.221384226659467,1.2213842266594672,arc,1,2,0.0,flow
175,2.2313842266594675,1.2313842266594675,arc,1,2,0.0,flow
176,2.2413842266594672,1.2413842266594672,arc,1,2,0.0,flow
177,2.2513842266594675,1.2513842266594675,arc,1,2,0.0,flow
178,2.2613842266594673,1.2613842266594673,arc,1,2,0.0,flow
179,2.2713842266594675,1.2713842266594675,arc,1,2,0.0,flow
180,2.2813842266594673,1.2813842266594673,arc,1,2,0.0,flow
181,2.2913842266594675,1.2913842266594675,arc,1,2,0.0,flow
182,2.3013842266594673,1.3013842266594673,arc,1,2,0.0,flow
183,2.3113842266594675,1.3113842266594673,arc,1,2,0.0,flow
184,2.3213842266594673,1.3213842266594673,arc,1,2,0.0,flow
185,2.331384226659467,1.3313842266594673,arc,1,2,0.0,flow
186,2.3413842266594673,1.3413842266594673,arc,1,2,0.0,flow
187,2.3513842266594676,1.3513842266594673,arc,1,2,0.0,flow
188,2.3613842266594673,1.3613842266594673,arc,1,2,0.0,flow
189,2.371384226659467,1.3713842266594674,arc,1,2,0.0,flow
190,2.3813842266594674,1.3813842266594674,arc,1,2,0.0,flow
191,2.3913842266594676,1.3913842266594674,arc,1,2,0.0,flow
192,2.4013842266594674,1.4013842266594674,arc,1,2,0.0,flow
193,2.411384226659467,1.4113842266594674,arc,1,2,0.0,flow
194,2.4213842266594674,1.4213842266594674,arc,1,2,0.0,flow
195,2.431384226659467,1.4313842266594672,arc,1,2,0.0,flow
196,2.4413842266594674,1.4413842266594674,arc,1,2,0.0,flow
197,2.451384226659467,1.4513842266594672,arc,1,2,0.0,flow
198,2.4613842266594674,1.4613842266594674,arc,1,2,0.0,flow
199,2.471384226659467,1.4713842266594672,arc,1,2,0.0,flow
200,2.4813842266594675,1.4813842266594675,arc,1,2,0.0,flow
201,2.4913842266594672,1.4913842266594672,arc,1,2,0.0,flow
202,2.5013842266594675,1.5013842266594675,arc,1,2,0.0,flow
203,2.5113842266594673,1.5113842266594673,arc,1,2,0.0,flow
204,2.5213842266594675,1.5213842266594675,arc,1,2,0.0,flow
205,2.529727752100074,1.529727752100074,arc,1,2,0.0,pre_impact
206,2.549727752100074,1.529727752100074,bridge,1,2,0.02,bridge
207,2.569727752100074,1.529727752100074,bridge,1,2,0.04,bridge
208,2.589727752100074,1.529727752100074,bridge,1,2,0.06,bridge
209,2.609727752100074,1.529727752100074,bridge,1,2,0.08,bridge
210,2.629727752100074,1.529727752100074,bridge,1,2,0.1,bridge
211,2.649727752100074,1.529727752100074,bridge,1,2,0.12,bridge
212,2.669727752100074,1.529727752100074,bridge,1,2,0.14,bridge
213,2.689727752100074,1.529727752100074,bridge,1,2,0.16,bridge
214,2.709727752100074,1.529727752100074,bridge,1,2,0.18,bridge
215,2.7297277521000742,1.529727752100074,bridge,1,2,0.2,bridge
216,2.7497277521000743,1.529727752100074,bridge,1,2,0.22,bridge
217,2.7697277521000743,1.529727752100074,bridge,1,2,0.24,bridge
218,2.789727752100074,1.529727752100074,bridge,1,2,0.26,bridge
219,2.8097277521000743,1.529727752100074,bridge,1,2,0.28,bridge
220,2.829727752100074,1.529727752100074,bridge,1,2,0.3,bridge
221,2.849727752100074,1.529727752100074,bridge,1,2,0.32,bridge
222,2.869727752100074,1.529727752100074,bridge,1,2,0.34,bridge
223,2.889727752100074,1.529727752100074,bridge,1,2,0.36,bridge
224,2.909727752100074,1.529727752100074,bridge,1,2,0.38,bridge
