boxsize,sb_radius,C,beta1_Y
0.1,1,0.1,1
0.15,1,0.15,1
0.2,1,0.2,1
0.25,1,0.25,1
0.3,1,0.3,1
0.4,1,0.4,1
0.5,1,0.5,1
