segment_length,run_index,rank,births
100,1,0,""
100,2,0,""
100,3,0,""
100,4,0,""
100,5,0,""
100,6,0,""
100,7,0,""
100,8,0,""
100,9,0,""
100,10,0,""
100,11,0,""
100,12,0,""
100,13,0,""
100,14,0,""
100,15,0,""
100,16,0,""
100,17,0,""
100,18,0,""
100,19,0,""
100,20,0,""
100,21,0,""
100,22,0,""
100,23,0,""
100,24,0,""
100,25,0,""
100,26,0,""
100,27,0,""
100,28,0,""
100,29,0,""
100,30,0,""
125,1,0,""
125,2,0,""
125,3,0,""
125,4,1,"0.415697554784722"
125,5,0,""
125,6,0,""
125,7,1,"0.24720870109388995"
125,8,1,"0.14207042654549967"
125,9,1,"0.1224388067216746"
125,10,1,"0.4823477659497496"
125,11,1,"0.15922079327148358"
125,12,0,""
125,13,1,"0.2251395945486938"
125,14,0,""
125,15,1,"0.20369213854698626"
125,16,1,"0.3630506252363744"
125,17,0,""
125,18,1,"0.2784991995271036"
125,19,1,"0.253402340112946"
125,20,0,""
125,21,1,"0.0954555977367989"
125,22,0,""
125,23,1,"0.14354226754823335"
125,24,1,"0.4135936540151943"
125,25,1,"0.1261521280459914"
125,26,1,"0.41470879652531634"
125,27,0,""
125,28,0,""
125,29,0,""
125,30,1,"0.32655581866428707"
150,1,1,"0.10814924277672386"
150,2,1,"0.07707790748513131"
150,3,1,"0.48928324808655405"
150,4,1,"0.12260549524252691"
150,5,1,"0.17109671326266807"
150,6,1,"0.0709176728621986"
150,7,1,"0.4554348371948837"
150,8,1,"0.42929169424053526"
150,9,1,"0.24678181271756908"
150,10,1,"0.017737144679638547"
150,11,1,"0.09532597883854782"
150,12,1,"0.25382907512798425"
150,13,1,"0.08485871782190604"
150,14,1,"0.014313020768401952"
150,15,1,"0.09005339714538485"
150,16,1,"0.08404952158334676"
150,17,1,"0.21181983642100424"
150,18,1,"0.17946403931160937"
150,19,1,"0.16405167980928895"
150,20,1,"0.26622377062157715"
150,21,1,"0.06968994262588181"
150,22,1,"0.4937310585373166"
150,23,1,"0.2631289398880819"
150,24,1,"0.4094913026531901"
150,25,1,"0.1068658583190985"
150,26,1,"0.3155768808328177"
150,27,1,"0.3779972010109969"
150,28,1,"0.12207895103057348"
150,29,1,"0.02534555937966141"
150,30,1,"0.09711416876607619"
175,1,1,"0.10675651794408134"
175,2,1,"0.046691282870638694"
175,3,1,"0.19763150518417139"
175,4,1,"0.11350052183243886"
175,5,1,"0.15589025972379283"
175,6,1,"0.488866517367558"
175,7,1,"0.02225269670177798"
175,8,1,"0.10039471950682746"
175,9,1,"0.38218568064749103"
175,10,1,"0.1483500255915633"
175,11,1,"0.07618211110391117"
175,12,1,"0.07731981657720732"
175,13,1,"0.14961464203312022"
175,14,1,"0.010892060741398053"
175,15,1,"0.06960096770141729"
175,16,1,"0.11958651339316587"
175,17,1,"0.10172596764333318"
175,18,1,"0.019634736482275976"
175,19,1,"0.07163953092585575"
175,20,1,"0.379125798830682"
175,21,1,"0.02159462625359366"
