segment_length,rank0,rank1,rank2
100,30,0,0
125,17,13,0
150,0,30,0
175,0,30,0
200,0,30,0
225,0,30,0
250,0,30,0
275,0,30,0
300,0,30,0
325,0,30,0
350,0,30,0
375,0,30,0
400,0,30,0
