radius,50,100,150,200,250,300,350,400,450,500
0.0,10,10,10,10,10,10,10,10,10,10
0.05,10,10,10,10,10,10,10,10,10,10
0.1,10,10,10,10,10,10,10,10,10,10
0.15,10,10,10,10,10,10,10,10,10,10
0.2,10,10,10,10,10,10,10,10,10,10
0.25,10,10,10,10,10,10,10,10,10,10
0.3,10,10,10,10,10,10,10,10,10,10
0.35,10,10,10,10,10,10,10,10,10,10
0.4,10,10,10,10,10,10,10,10,10,10
0.45,10,10,10,10,10,10,10,10,10,10
0.5,10,10,10,10,10,10,10,10,10,10
0.55,10,10,10,10,10,10,10,10,10,10
0.6,10,10,10,10,10,10,10,10,10,10
0.65,10,10,10,10,10,10,10,10,10,10
0.7,10,10,10,10,10,10,10,10,10,10
0.75,10,10,10,10,10,10,10,10,10,10
0.8,10,10,10,10,10,10,10,10,10,10
0.85,10,10,10,10,10,10,10,10,10,10
0.9,10,10,10,10,10,10,10,10,10,10
0.95,10,10,10,10,10,10,10,10,10,10
1.0,10,10,10,10,10,10,10,10,10,10
1.05,10,10,10,10,10,10,10,10,10,10
1.1,10,10,10,10,10,10,10,10,10,10
1.15,10,10,10,10,10,10,10,10,10,10
1.2,10,10,10,10,10,10,10,10,10,10
1.25,10,10,10,10,10,10,10,10,10,10
1.3,10,10,10,10,10,10,10,10,10,10
1.35,10,10,10,10,10,10,10,10,10,10
1.4,10,10,10,10,10,10,10,10,10,10
1.45,10,10,10,10,10,10,10,10,10,10
1.5,10,10,10,10,10,10,10,10,10,10
1.55,10,10,10,10,10,10,10,10,10,10
1.6,10,10,10,10,10,10,10,10,10,10
1.65,10,10,10,10,10,10,10,10,10,10
1.7,10,10,10,10,10,10,10,10,10,10
1.75,10,10,10,10,10,10,10,10,10,10
1.8,10,10,10,10,10,10,10,10,10,10
1.85,10,10,10,10,10,10,10,10,10,10
1.9,10,10,10,10,10,10,10,10,10,10
1.95,10,10,10,10,10,10,10,10,10,10
2.0,10,10,10,10,10,10,10,10,10,10
2.05,10,10,10,10,10,10,10,10,10,10
2.1,10,10,10,10,10,10,10,10,10,10
2.15,10,10,10,10,10,10,10,10,10,10
2.2,10,10,10,10,10,10,10,10,10,10
2.25,10,10,10,10,10,10,10,10,10,10
2.3,10,10,10,10,10,10,10,10,10,10
2.35,10,10,10,10,10,10,10,10,10,10
2.4,10,10,10,10,10,10,10,10,10,10
2.45,10,10,10,10,10,10,10,10,10,10
2.5,10,10,10,10,10,10,10,10,10,10
2.55,10,10,10,10,10,10,10,10,10,10
2.6,10,10,10,10,10,10,10,10,10,10
2.65,10,10,10,10,10,10,10,10,10,10
2.7,10,10,10,10,10,10,10,10,10,10
2.75,10,10,10,10,10,10,10,10,10,10
2.8,10,10,10,10,10,10,10,10,10,10
2.85,10,10,10,10,10,10,10,10,10,10
2.9,10,10,10,10,10,10,10,10,10,10
2.95,10,10,10,10,10,10,10,10,10,10
3.0,10,10,10,10,10,10,10,10,10,10
3.05,10,10,10,10,10,10,10,10,10,10
3.1,10,10,10,10,10,10,10,10,10,10
3.15,10,10,10,10,10,10,10,10,10,10
3.2,10,10,10,10,10,10,10,10,10,10
3.25,10,10,10,10,10,10,10,10,10,10
3.3,10,10,10,10,10,10,10,10,10,10
3.35,10,10,10,10,10,10,10,10,10,10
3.4,10,10,10,10,10,10,10,10,10,10
3.45,10,10,10,10,10,10,10,10,10,10
3.5,10,10,10,10,10,10,10,10,10,10
3.55,10,10,10,10,10,10,10,10,10,10
3.6,10,10,10,10,10,10,10,10,10,10
3.65,10,10,10,10,10,10,10,10,10,10
3.7,10,10,10,10,10,10,10,10,10,10
3.75,10,10,10,10,10,10,10,10,10,10
3.8,10,10,10,10,10,10,10,10,10,10
3.85,10,10,10,10,10,10,10,10,10,10
3.9,10,10,10,10,10,10,10,10,10,10
3.95,10,10,10,10,10,10,10,10,10,10
4.0,10,10,10,10,10,10,10,10,10,10
4.05,10,10,10,10,10,10,10,10,10,10
4.1,10,10,10,10,10,10,10,10,10,10
4.15,10,10,10,10,10,10,10,10,10,10
4.2,10,10,10,10,10,10,10,10,10,10
4.25,10,10,10,10,10,10,10,10,10,10
4.3,10,10,10,10,10,10,10,10,10,10
4.35,10,10,10,10,10,10,10,10,10,10
4.4,10,10,10,10,10,10,10,10,10,10
4.45,10,10,10,10,10,10,10,10,10,10
4.5,10,10,10,10,10,10,10,10,10,10
4.55,10,10,10,10,10,10,10,10,10,10
4.6,10,10,10,10,10,10,10,10,10,10
4.65,10,10,10,10,10,10,10,10,10,10
4.7,10,10,10,10,10,10,10,10,10,10
4.75,10,10,10,10,10,10,10,10,10,10
4.8,10,10,10,10,10,10,10,10,10,10
4.85,10,10,10,10,10,10,10,10,10,10
4.9,10,10,10,10,10,10,10,10,10,10
4.95,10,10,10,10,10,10,10,10,10,10
5.0,10,10,10,10,10,10,10,10,10,10
