segment_length,rank0,rank1,rank2
100,30,0,0
125,27,3,0
150,18,12,0
175,12,18,0
200,12,18,0
225,0,30,0
250,0,30,0
275,0,30,0
300,0,30,0
325,0,30,0
350,0,30,0
375,0,30,0
400,0,30,0
