-1.399083060261613332e-02 -9.354597994032998187e-02 9.520975079791828000e-01 2.907984552845530590e-01
5.068610164933072711e-03 -8.879251436232578343e-02 9.571354977351841375e-01 2.756480320253227312e-01
2.450135305085178461e-02 -8.482310219759069125e-02 9.607950562563816188e-01 2.628261495847611373e-01
4.457212447617063533e-02 -8.164223567379880198e-02 9.632352064400668823e-01 2.520432664211180174e-01
6.565266420625660848e-02 -7.929989781223460710e-02 9.645509232246779474e-01 2.429871815467041785e-01
8.828485005213257408e-02 -7.790594488694350950e-02 9.647623890805167024e-01 2.353082693366274625e-01
1.132837308776067781e-01 -7.765607526244956704e-02 9.637839536242540639e-01 2.285975088002588362e-01
1.419152378170168427e-01 -7.887940912323837539e-02 9.613531158694900158e-01 2.223472300248675038e-01
1.762225426700407271e-01 -8.212917474281793140e-02 9.568698611408500421e-01 2.158714500605849462e-01
2.196686197438159904e-01 -8.836531583715699634e-02 9.490100529520016925e-01 2.081278161440355545e-01
2.784973057761691573e-01 -9.934656762180431311e-02 9.346927539687461817e-01 1.972789037264304490e-01
3.647926374581116904e-01 -1.185208280775665035e-01 9.059067287078135244e-01 1.794774187748151284e-01
5.029979564263202807e-01 -1.529559316968179539e-01 8.381886978914921960e-01 1.450422197729646367e-01
7.310635629923596390e-01 -2.139931122822125997e-01 6.444708538746518611e-01 6.641034005910477489e-02
9.501638859103007650e-01 -2.755196070314676060e-01 1.062515796470736851e-01 -9.994067177863111273e-02
7.880141265854487820e-01 -2.329730991521670180e-01 -5.172817350485058308e-01 -2.391168709196701825e-01
5.409859695905734345e-01 -1.677463604566285238e-01 -7.770222542464306770e-01 -2.746484219242795732e-01
3.873442220229905142e-01 -1.294462526875538033e-01 -8.688316500820488786e-01 -2.798922741810832004e-01
2.930903791613086451e-01 -1.083501690770196368e-01 -9.077598155657665702e-01 -2.798756648014738002e-01
2.301312566977800622e-01 -9.650641435622635267e-02 -9.271244051034838174e-01 -2.795826427736812225e-01
