-2.391495108604431152e-01 5.258387327194213867e-02 9.624837338924407959e-02 -1.057868123054504395e+00 2.543399631977081299e-01 -4.508015513420104980e-02 2.015440538525581360e-02 3.045895323157310486e-02 -8.612551540136337280e-02 -1.866867579519748688e-02 -4.710865393280982971e-02
-2.397998422384262085e-01 5.213178694248199463e-02 1.068286895751953125e-01 -1.052824497222900391e+00 2.590382099151611328e-01 -4.541260004043579102e-02 1.990170590579509735e-02 3.104827553033828735e-02 -8.605898171663284302e-02 -1.850269921123981476e-02 -4.725209623575210571e-02
-2.412410974502563477e-01 5.234363675117492676e-02 1.264914274215698242e-01 -1.044475078582763672e+00 2.678979337215423584e-01 -4.598462581634521484e-02 1.942460238933563232e-02 3.207345306873321533e-02 -8.585295826196670532e-02 -1.815047487616539001e-02 -4.744525998830795288e-02
-2.422356307506561279e-01 5.329748988151550293e-02 1.423542499542236328e-01 -1.040049076080322266e+00 2.753946781158447266e-01 -4.560364037752151489e-02 1.832216046750545502e-02 3.200389817357063293e-02 -8.485674113035202026e-02 -1.706548780202865601e-02 -4.678095877170562744e-02
-2.419817745685577393e-01 5.346541106700897217e-02 1.563144922256469727e-01 -1.039821624755859375e+00 2.826522290706634521e-01 -4.308912158012390137e-02 1.539792027324438095e-02 2.967949397861957550e-02 -8.191317319869995117e-02 -1.404025591909885406e-02 -4.412776604294776917e-02
-2.393663972616195679e-01 5.083266645669937134e-02 1.705832183361053467e-01 -1.044322490692138672e+00 2.911009490489959717e-01 -3.692893311381340027e-02 9.114265441894531250e-03 2.360638603568077087e-02 -7.552301883697509766e-02 -7.541025523096323013e-03 -3.800410032272338867e-02
-2.329810708761215210e-01 4.297190159559249878e-02 1.874103546142578125e-01 -1.054454684257507324e+00 3.023724257946014404e-01 -2.534048259258270264e-02 -2.337718382477760315e-03 1.200844720005989075e-02 -6.390281766653060913e-02 4.217840731143951416e-03 -2.662217430770397186e-02
-2.212232053279876709e-01 2.726318687200546265e-02 2.087390124797821045e-01 -1.071537375450134277e+00 3.180974125862121582e-01 -6.430748850107192993e-03 -2.086845785379409790e-02 -7.021731231361627579e-03 -4.514397308230400085e-02 2.310372889041900635e-02 -8.034043014049530029e-03
-2.025021314620971680e-01 1.271501183509826660e-03 2.358601689338684082e-01 -1.097200751304626465e+00 3.396309912204742432e-01 2.153329364955425262e-02 -4.821290075778961182e-02 -3.525550290942192078e-02 -1.748536899685859680e-02 5.079447105526924133e-02 1.959999091923236847e-02
-1.755239963531494141e-01 -3.678393363952636719e-02 2.691600918769836426e-01 -1.133089423179626465e+00 3.677885532379150391e-01 5.978184938430786133e-02 -8.558934181928634644e-02 -7.397792488336563110e-02 2.033893391489982605e-02 8.844929933547973633e-02 5.765154957771301270e-02
-1.395772546529769897e-01 -8.760856091976165771e-02 3.080528378486633301e-01 -1.180430412292480469e+00 4.026935398578643799e-01 1.087277829647064209e-01 -1.333961337804794312e-01 -1.236547604203224182e-01 6.877954304218292236e-02 1.364212930202484131e-01 1.066742092370986938e-01
-9.471285343170166016e-02 -1.506312042474746704e-01 3.511309027671813965e-01 -1.239619255065917969e+00 4.438142478466033936e-01 1.678120046854019165e-01 -1.910726279020309448e-01 -1.837542802095413208e-01 1.273125410079956055e-01 1.941320300102233887e-01 1.662062853574752808e-01
-4.173865914344787598e-02 -2.241237461566925049e-01 3.964910507202148438e-01 -1.310008764266967773e+00 4.901726841926574707e-01 2.355935871601104736e-01 -2.572027146816253662e-01 -2.528203129768371582e-01 1.945275664329528809e-01 2.601796090602874756e-01 2.348303794860839844e-01
1.797372102737426758e-02 -3.056044876575469971e-01 4.421272873878479004e-01 -1.390002608299255371e+00 5.406243205070495605e-01 3.100612163543701172e-01 -3.298260867595672607e-01 -3.287816941738128662e-01 2.684372067451477051e-01 3.326455950736999512e-01 3.104792833328247070e-01
8.278524875640869141e-02 -3.923561573028564453e-01 4.862705469131469727e-01 -1.477395296096801758e+00 5.940894484519958496e-01 3.890331089496612549e-01 -4.068290889263153076e-01 -4.093659520149230957e-01 3.468773961067199707e-01 4.094719290733337402e-01 3.908576965332031250e-01
1.510752141475677490e-01 -4.818669259548187256e-01 5.275866985321044922e-01 -1.569790124893188477e+00 6.496633291244506836e-01 4.704900383949279785e-01 -4.862630367279052734e-01 -4.924532473087310791e-01 4.278371036052703857e-01 4.887647628784179688e-01 4.738103747367858887e-01
2.214323878288269043e-01 -5.720818042755126953e-01 5.652265548706054688e-01 -1.664938807487487793e+00 7.066140174865722656e-01 5.527508258819580078e-01 -5.665088891983032227e-01 -5.762748718261718750e-01 5.096385478973388672e-01 5.689452290534973145e-01 5.575319528579711914e-01
2.927300631999969482e-01 -6.614555120468139648e-01 5.987539291381835938e-01 -1.760924100875854492e+00 7.643204927444458008e-01 6.344996094703674316e-01 -6.463012695312500000e-01 -6.594468355178833008e-01 5.909644365310668945e-01 6.487699151039123535e-01 6.406166553497314453e-01
3.641158938407897949e-01 -7.488836646080017090e-01 6.280204057693481445e-01 -1.856204271316528320e+00 8.222138285636901855e-01 7.147260904312133789e-01 -7.246690988540649414e-01 -7.409185171127319336e-01 6.708038449287414551e-01 7.272685170173645020e-01 7.220040559768676758e-01
4.349577426910400391e-01 -8.335919380187988281e-01 6.530389785766601562e-01 -1.949577450752258301e+00 8.797400593757629395e-01 7.926410436630249023e-01 -8.008580207824707031e-01 -8.198807835578918457e-01 7.483697533607482910e-01 8.036701679229736328e-01 8.008933663368225098e-01
5.047817230224609375e-01 -9.150245189666748047e-01 6.738841533660888672e-01 -2.040109634399414062e+00 9.363536834716796875e-01 8.676111698150634766e-01 -8.742636442184448242e-01 -8.956945538520812988e-01 8.230339884757995605e-01 8.773446083068847656e-01 8.766653537750244141e-01
5.732188820838928223e-01 -9.927679300308227539e-01 6.906290054321289062e-01 -2.127072572708129883e+00 9.915230274200439453e-01 9.391134381294250488e-01 -9.443919658660888672e-01 -9.678403139114379883e-01 8.942847847938537598e-01 9.477628469467163086e-01 9.488265514373779297e-01
6.399663686752319336e-01 -1.066498517990112305e+00 7.033151388168334961e-01 -2.209891319274902344e+00 1.044745445251464844e+00 1.006707906723022461e+00 -1.010830879211425781e+00 -1.035885810852050781e+00 9.616949558258056641e-01 1.014477968215942383e+00 1.016977190971374512e+00
7.047618031501770020e-01 -1.135948181152343750e+00 7.119467258453369141e-01 -2.288098812103271484e+00 1.095559120178222656e+00 1.070024490356445312e+00 -1.073233962059020996e+00 -1.099468946456909180e+00 1.024909257888793945e+00 1.077109456062316895e+00 1.080786824226379395e+00
7.673695087432861328e-01 -1.200893878936767578e+00 7.164950370788574219e-01 -2.361316919326782227e+00 1.143548727035522461e+00 1.128748774528503418e+00 -1.131308674812316895e+00 -1.158282756805419922e+00 1.083627462387084961e+00 1.135334372520446777e+00 1.139976620674133301e+00
8.275698423385620117e-01 -1.261134147644042969e+00 7.169120311737060547e-01 -2.429224014282226562e+00 1.188346982002258301e+00 1.182615041732788086e+00 -1.184810638427734375e+00 -1.212068557739257812e+00 1.137596607208251953e+00 1.188880681991577148e+00 1.194315195083618164e+00
8.851571083068847656e-01 -1.316501617431640625e+00 7.131474018096923828e-01 -2.491550922393798828e+00 1.229639768600463867e+00 1.231400609016418457e+00 -1.233532190322875977e+00 -1.260609269142150879e+00 1.186605334281921387e+00 1.237520456314086914e+00 1.243605494499206543e+00
