radius,25,50,100,200,300
0.0,20,20,20,20,20
0.002,20,20,20,20,20
0.004,20,20,20,20,20
0.006,20,20,20,20,20
0.008,20,20,20,20,20
0.01,20,20,20,20,20
0.012,20,20,20,20,20
0.014,20,20,20,20,20
0.016,20,20,20,20,20
0.018,20,20,20,20,20
0.02,20,20,20,20,20
0.022,20,20,20,20,20
0.024,20,20,20,20,20
0.026,20,20,20,20,20
0.028,20,20,20,20,20
0.03,20,20,20,20,20
0.032,20,20,20,20,20
0.034,20,20,20,20,20
0.036,20,20,20,20,20
0.038,20,20,20,20,20
0.04,20,20,20,20,20
0.042,20,20,20,20,20
0.044,20,20,20,20,20
0.046,20,20,20,20,20
0.048,20,20,20,20,20
0.05,20,20,20,20,20
0.052,20,20,20,20,20
0.054,20,20,20,20,20
0.056,20,20,20,20,20
0.058,20,20,20,20,20
0.06,20,20,20,20,20
0.062,20,20,20,20,20
0.064,20,20,20,20,20
0.066,20,20,20,20,20
0.068,20,20,20,20,20
0.07,20,20,20,20,20
0.072,20,20,20,20,20
0.074,20,20,20,20,20
0.076,20,20,20,20,20
0.078,20,20,20,20,20
0.08,20,20,20,20,20
0.082,20,20,20,20,20
0.084,20,20,20,20,20
0.086,20,20,20,20,20
0.088,20,20,20,20,20
0.09,20,20,20,20,20
0.092,20,20,20,20,20
0.094,20,20,20,20,20
0.096,20,20,20,20,20
0.098,20,20,20,20,20
0.1,20,20,20,20,20
0.102,20,20,20,20,20
0.104,20,20,20,20,20
0.106,20,20,20,20,20
0.108,20,20,20,20,20
0.11,20,20,20,20,20
0.112,20,20,20,20,20
0.114,20,20,20,20,20
0.116,20,20,20,20,20
0.118,20,20,20,20,20
0.12,20,20,20,20,20
0.122,20,20,20,20,20
0.124,20,20,20,20,20
0.126,20,20,20,20,20
0.128,20,20,20,20,20
0.13,20,20,20,20,20
0.132,20,20,20,20,20
0.134,20,20,20,20,20
0.136,20,20,20,20,20
0.138,20,20,20,20,20
0.14,20,20,20,20,20
0.142,20,20,20,20,20
0.144,20,20,20,20,20
0.146,20,20,20,20,20
0.148,20,20,20,20,20
0.15,20,20,20,20,20
0.152,20,20,20,20,20
0.154,20,20,20,20,20
0.156,20,20,20,20,20
0.158,20,20,20,20,20
0.16,20,20,20,20,20
0.162,20,20,20,20,20
0.164,20,20,20,20,20
0.166,20,20,20,20,20
0.168,20,20,20,20,20
0.17,20,20,20,20,20
0.172,20,20,20,20,20
0.174,20,20,20,20,20
0.176,20,20,20,20,20
0.178,20,20,20,20,20
0.18,20,20,20,20,20
0.182,20,20,20,20,20
0.184,20,20,20,20,20
0.186,20,20,20,20,20
0.188,20,20,20,20,20
0.19,20,20,20,20,20
0.192,20,20,20,20,20
0.194,20,20,20,20,20
0.196,20,20,20,20,20
0.198,20,20,20,20,20
0.2,20,20,20,20,20
