segment_length,rank0,rank1,rank2,rank3
20,150,0,0,0
40,150,0,0,0
60,142,8,0,0
80,134,16,0,0
100,130,20,0,0
120,126,24,0,0
140,111,39,0,0
160,98,52,0,0
180,100,50,0,0
200,89,61,0,0
220,80,70,0,0
240,85,65,0,0
260,52,98,0,0
280,48,102,0,0
300,41,109,0,0
320,37,113,0,0
340,18,132,0,0
360,3,147,0,0
380,0,150,0,0
400,0,150,0,0
420,0,150,0,0
440,0,150,0,0
460,0,150,0,0
480,0,150,0,0
500,0,150,0,0
520,0,150,0,0
540,0,150,0,0
560,0,150,0,0
580,0,150,0,0
600,0,150,0,0
620,0,150,0,0
640,0,150,0,0
660,0,150,0,0
680,0,150,0,0
700,0,150,0,0
720,0,150,0,0
740,0,150,0,0
760,0,150,0,0
780,0,150,0,0
800,0,150,0,0
