space_index,space_matrix,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800
1,"1",0,0,38,64,73,94,94,112,106,117,128,129,126,136,138,136,137,142,141,143,144,142,146,145,147,149,148,149,150,150,150,150,150,150,150,150,150,150,150,150
