1.021420955657958984e-01 1.781499385833740234e-01 8.541094064712524414e-01 2.793502807617187500e-02 2.938499152660369873e-01
1.019420325756072998e-01 1.773530542850494385e-01 8.624836206436157227e-01 3.057277202606201172e-02 2.938606441020965576e-01
1.015636920928955078e-01 1.755562424659729004e-01 8.813611865043640137e-01 3.642117977142333984e-02 2.938905060291290283e-01
1.012865900993347168e-01 1.737765371799468994e-01 9.000605940818786621e-01 4.209148883819580078e-02 2.939266562461853027e-01
1.011033952236175537e-01 1.720159202814102173e-01 9.186071157455444336e-01 4.760384559631347656e-02 2.939676046371459961e-01
1.010079681873321533e-01 1.702756136655807495e-01 9.370242357254028320e-01 5.298101902008056641e-02 2.940126359462738037e-01
1.009936034679412842e-01 1.685572564601898193e-01 9.553388357162475586e-01 5.824023485183715820e-02 2.940617799758911133e-01
1.010521352291107178e-01 1.668622195720672607e-01 9.735748767852783203e-01 6.340301036834716797e-02 2.941143512725830078e-01
1.011765599250793457e-01 1.652185469865798950e-01 9.914677143096923828e-01 6.840503215789794922e-02 2.941704094409942627e-01
1.013487875461578369e-01 1.636892706155776978e-01 1.008341789245605469e+00 7.307386398315429688e-02 2.942273914813995361e-01
1.015893220901489258e-01 1.620719432830810547e-01 1.026474118232727051e+00 7.804667949676513672e-02 2.942937910556793213e-01
1.018805801868438721e-01 1.604842841625213623e-01 1.044608831405639648e+00 8.298379182815551758e-02 2.943655848503112793e-01
1.022191345691680908e-01 1.589273810386657715e-01 1.062759637832641602e+00 8.789622783660888672e-02 2.944448292255401611e-01
1.025992035865783691e-01 1.574033498764038086e-01 1.080939650535583496e+00 9.279614686965942383e-02 2.945322394371032715e-01
1.030180454254150391e-01 1.559126079082489014e-01 1.099157571792602539e+00 9.769046306610107422e-02 2.946290969848632812e-01
1.034718155860900879e-01 1.544563919305801392e-01 1.117419362068176270e+00 1.025894880294799805e-01 2.947363257408142090e-01
1.039578318595886230e-01 1.530359834432601929e-01 1.135728955268859863e+00 1.074979901313781738e-01 2.948555350303649902e-01
1.044741272926330566e-01 1.516515761613845825e-01 1.154085040092468262e+00 1.124221682548522949e-01 2.949878573417663574e-01
1.050184965133666992e-01 1.503040939569473267e-01 1.172485113143920898e+00 1.173650026321411133e-01 2.951345741748809814e-01
1.055903732776641846e-01 1.489933580160140991e-01 1.190921664237976074e+00 1.223290562629699707e-01 2.952967584133148193e-01
1.061887145042419434e-01 1.477193832397460938e-01 1.209383249282836914e+00 1.273144483566284180e-01 2.954753339290618896e-01
1.068135499954223633e-01 1.464822888374328613e-01 1.227856516838073730e+00 1.323196887969970703e-01 2.956711947917938232e-01
1.074656248092651367e-01 1.452814042568206787e-01 1.246326208114624023e+00 1.373442411422729492e-01 2.958854436874389648e-01
1.081469357013702393e-01 1.441159546375274658e-01 1.264769673347473145e+00 1.423835158348083496e-01 2.961181998252868652e-01
1.088576912879943848e-01 1.429849714040756226e-01 1.283165454864501953e+00 1.474334001541137695e-01 2.963702380657196045e-01
1.096012294292449951e-01 1.418874859809875488e-01 1.301487207412719727e+00 1.524881124496459961e-01 2.966414391994476318e-01
1.103799343109130859e-01 1.408218443393707275e-01 1.319706797599792480e+00 1.575400829315185547e-01 2.969320118427276611e-01
1.111972332000732422e-01 1.397863775491714478e-01 1.337795019149780273e+00 1.625826954841613770e-01 2.972419559955596924e-01
1.120564043521881104e-01 1.387791335582733154e-01 1.355719685554504395e+00 1.676066517829895020e-01 2.975703179836273193e-01
1.129624247550964355e-01 1.377976685762405396e-01 1.373447895050048828e+00 1.726027131080627441e-01 2.979170978069305420e-01
1.139190196990966797e-01 1.368402540683746338e-01 1.390946745872497559e+00 1.775615215301513672e-01 2.982812523841857910e-01
1.149315536022186279e-01 1.359033435583114624e-01 1.408181905746459961e+00 1.824722290039062500e-01 2.986619472503662109e-01
1.160053312778472900e-01 1.349854618310928345e-01 1.425118684768676758e+00 1.873253583908081055e-01 2.990580499172210693e-01
1.171449422836303711e-01 1.340833008289337158e-01 1.441724658012390137e+00 1.921104192733764648e-01 2.994686663150787354e-01
1.183556616306304932e-01 1.331935375928878784e-01 1.457968235015869141e+00 1.968162059783935547e-01 2.998922467231750488e-01
1.196438670158386230e-01 1.323127895593643188e-01 1.473817348480224609e+00 2.014327645301818848e-01 3.003274202346801758e-01
1.210146099328994751e-01 1.314388066530227661e-01 1.489244818687438965e+00 2.059511542320251465e-01 3.007727861404418945e-01
1.224747151136398315e-01 1.305678784847259521e-01 1.504222869873046875e+00 2.103610038757324219e-01 3.012269735336303711e-01
1.240291893482208252e-01 1.296965926885604858e-01 1.518730521202087402e+00 2.146546840667724609e-01 3.016884624958038330e-01
1.256828010082244873e-01 1.288214623928070068e-01 1.532745718955993652e+00 2.188241481781005859e-01 3.021556437015533447e-01
1.274416744709014893e-01 1.279391199350357056e-01 1.546253442764282227e+00 2.228619456291198730e-01 3.026272058486938477e-01
1.293115317821502686e-01 1.270462870597839355e-01 1.559239983558654785e+00 2.267622351646423340e-01 3.031017184257507324e-01
1.312976628541946411e-01 1.261391490697860718e-01 1.571696758270263672e+00 2.305207252502441406e-01 3.035774528980255127e-01
1.334035694599151611e-01 1.252147257328033447e-01 1.583618283271789551e+00 2.341326475143432617e-01 3.040540516376495361e-01
1.356358081102371216e-01 1.242697462439537048e-01 1.595003724098205566e+00 2.375950217247009277e-01 3.045295476913452148e-01
1.379971206188201904e-01 1.233003214001655579e-01 1.605854988098144531e+00 2.409052252769470215e-01 3.050033748149871826e-01
1.404930502176284790e-01 1.223037391901016235e-01 1.616178035736083984e+00 2.440627813339233398e-01 3.054739832878112793e-01
1.431257724761962891e-01 1.212764754891395569e-01 1.625980734825134277e+00 2.470662593841552734e-01 3.059410750865936279e-01
1.458989381790161133e-01 1.202153414487838745e-01 1.635275602340698242e+00 2.499170899391174316e-01 3.064037859439849854e-01
1.488156020641326904e-01 1.191179230809211731e-01 1.644072413444519043e+00 2.526128888130187988e-01 3.068617880344390869e-01
1.518780291080474854e-01 1.179812997579574585e-01 1.652386188507080078e+00 2.551565766334533691e-01 3.073144555091857910e-01
1.550869941711425781e-01 1.168023720383644104e-01 1.660229682922363281e+00 2.575471997261047363e-01 3.077614903450012207e-01
1.584443002939224243e-01 1.155790686607360840e-01 1.667614936828613281e+00 2.597848176956176758e-01 3.082030713558197021e-01
1.619490981101989746e-01 1.143097653985023499e-01 1.674550294876098633e+00 2.618694007396697998e-01 3.086385130882263184e-01
1.656018644571304321e-01 1.129913404583930969e-01 1.681043386459350586e+00 2.637984454631805420e-01 3.090683817863464355e-01
